Play,Year_of_creation,Num_of_segments,Num_of_acts,Female_part,Male_part,Max_weight,Max_degree,Density,Num_of_char,Chars_with_max_degree,Average_clust_coef,Genre,
Plavil'schikov_-_Sgovor_Kutejkina,1789,12,0,0.16,0.84,5,10,0.8,11,Eremeevna|Preslep,0.91,comedy,
Prutkov_-_Chereposlov_sirech_Frenolog,1860,3,0,0.23,0.77,3,8,1.0,9,None,1.0,other,
Prutkov_-_Spor_drevnih_grecheskih_filosofov_ob_izjaschnom,1854,1,0,0.0,1.0,1,1,1.0,2,None,0.0,drama,
Pushkin_-_Boris_Godunov,1831,22,0,0.1,0.9,3,29,0.11,77,Tsar_Boris,0.89,other,
Sumarokov_-_Dimitrij_Samozvanets,1771,36,5,0.2,0.8,9,5,0.73,6,Dimitrij,0.77,tragedy,
Sumarokov_-_Horev,1747,27,5,0.38,0.62,4,11,0.38,12,Kij,0.78,tragedy,
Sumarokov_-_Semira,1751,39,5,0.42,0.58,7,9,0.4,11,Semira,0.72,tragedy,
Tolstoy_A_-_Blondy,1854,5,0,0.48,0.52,4,2,1.0,3,None,1.0,other,
Turgenev_-_Gde_tonko_tam_i_rvetsja,1848,1,0,0.4,0.6,1,9,1.0,10,None,1.0,comedy,
Turgenev_-_Nahlebnik,1857,2,2,0.16,0.84,2,13,1.0,14,None,1.0,comedy,
Turgenev_-_Neostorozhnost',1843,4,0,0.42,0.58,3,5,0.73,6,DonPablo,0.77,other,
Turgenev_-_Provintsialka,1851,25,0,0.01,0.99,13,6,0.81,7,Stupendev|DarjaIvanovna,0.92,comedy,
Turgenev_-_Zavtrak_u_predvoditelja,1849,11,0,0.18,0.82,9,11,0.85,12,Balagalaev|Mirvolin|Suslov|Kaurova,0.91,comedy,
