Play,Year_of_creation,Num_of_segments,Num_of_acts,Female_part,Male_part,Female_words,Male_words,Mean_len_fem_re,Mean_len_male_re,Max_weight,Max_degree,Density,Num_of_char,Chars_with_max_degree,Average_clust_coef,Genre
chekhov-tri-sestry,1901,86,4,0.47,0.53,0.42,0.58,16.0,19.06,20,13,0.82,14,Irina,0.89,drama
chekhov-vishnevyi-sad,1904,74,4,0.45,0.55,0.42,0.58,14.78,16.55,19,12,0.73,14,LjubovAndreevna|Lopahin,0.86,comedy
fonvizin-brigadir,1772,30,5,0.34,0.66,0.32,0.68,15.62,17.24,14,7,0.96,8,Sovetnik|Syn|Sofja|Sovetnitsa|Brigadir|Brigadirsha,0.96,comedy
fonvizin-nedorosl,1782,40,5,0.29,0.71,0.3,0.7,15.97,15.28,13,12,0.66,15,GospozhaProstakova|Mitrofan|Pravdin|Starodum,0.85,comedy
gogol-lakeiskaja,1842,8,0,0.09,0.91,0.07,0.93,13.86,17.32,4,7,0.36,9,Grigorij,0.51,other
gogol-otryvok,1842,2,0,0.5,0.5,0.38,0.62,21.58,34.55,1,3,0.67,4,MarjaAleksandrovna,0.58,other
gogol-revizor,1836,53,5,0.17,0.83,0.16,0.84,15.63,17.87,12,27,0.52,31,Gorodnichij,0.85,comedy
gogol-teatralnyi-razezd,1842,37,0,0.11,0.89,0.1,0.9,27.94,31.71,3,19,0.07,92,GolosGospodinaPooschritelnogoSvojstva|VtorojOfitserIzTolpy|NeznakomyjSosed|Neznakomets|GolosVNarode|GolosIzTolpy_2|GolosDrugogoChinovnikaIzTolpy|GolosSerditogoChinovnikaNoKakVidnoOpytnogo|GolosIzTolpy_1|ChinovnikVazhnojNaruzhnosti|RaznyeGolosa|NeizvestnyjGolos|Kupets|KrasivyjIPlotnyjGospodin|PervyjOfitserIzTolpy|GolosVOdnomKontseTolpy|Ofitser|NevzrachnyjNoJadovitogoSvojstvaGospodin|GolosVDrugomKontse|GolosKuptsa,0.73,other
gogol-tjazhba,1842,4,0,0.0,1.0,0.0,1.0,0,23.25,1,2,0.67,3,Proletov,0.0,other
gogol-utro-delovogo-cheloveka,1836,5,0,0.05,0.95,0.02,0.98,6.0,16.96,3,4,0.5,5,IvanPetrovich,0.43,other
gogol-zhenitba,1842,46,2,0.33,0.67,0.31,0.69,14.78,16.47,10,9,0.64,12,Fekla|Kochkarev|Jaichnitsa|Anuchkin|Podkolesin,0.73,comedy
gorky-egor-bulychov-i-drugie,1932,75,3,0.31,0.69,0.3,0.7,8.39,8.76,13,17,0.42,22,Shura|Bulychov,0.78,other
gorky-na-dne,1902,4,4,0.19,0.81,0.19,0.81,10.82,10.91,4,16,1.0,17,None,1.0,other
griboyedov-gore-ot-uma,1825,60,4,0.4,0.6,0.29,0.71,14.92,23.49,13,23,0.5,29,Chatskij,0.86,other
gumilyov-akteon,1913,8,0,0.28,0.72,0.18,0.82,9.0,15.81,3,13,0.39,15,Akteon,0.93,other
gumilyov-ditja-allaha,1917,3,0,0.27,0.73,0.25,0.75,14.67,16.07,3,19,0.56,20,Peri|Dervish,0.91,other
gumilyov-don-zhuan-v-egipte,1911,3,0,0.2,0.8,0.1,0.9,9.0,19.33,2,3,1.0,4,None,1.0,other
gumilyov-gondla,1917,24,4,0.19,0.81,0.2,0.8,23.48,21.85,10,7,1.0,8,None,1.0,other
krylov-amerikantsy,1778,25,2,0.34,0.66,0.25,0.75,10.45,16.61,11,8,0.58,10,Atsem|Elvira,0.84,other
krylov-podschipa-ili-trumf,1800,21,2,0.36,0.64,0.38,0.62,16.56,15.17,7,7,0.89,8,Podschipa|Sljunjaj|Durduran|Vakula,0.93,other
krylov-sonnyj-poroshok-ili-pohischennaja-krestjanka,1800,23,3,0.33,0.67,0.25,0.75,10.03,14.55,9,10,0.75,11,Zhuleta|Blez,0.87,other
krylov-urok-dochkam,1807,18,0,0.65,0.35,0.58,0.42,13.38,18.16,14,7,0.72,9,Fekla|Semen|Lukerja|Dasha|Velkarov,0.88,comedy
lermontov-maskarad,1842,10,4,0.26,0.74,0.23,0.77,16.7,19.25,6,31,0.17,48,KnjazZvezdich,0.79,drama
lomonosov-demofont,1752,29,6,0.45,0.55,0.43,0.57,41.96,45.65,5,7,0.75,8,Memnon,0.84,other
lomonosov-tamira-i-selim,1750,30,5,0.36,0.64,0.34,0.66,47.83,51.87,6,8,0.64,10,Nadir|Mumet|Tamira,0.79,other
