Source;Type;Target;Weight
1-jhor;Undirected;Bobyliha;1
Lel;Undirected;Radushka;2
Odnastorona;Undirected;Vtoraja;1
Kupava;Undirected;PerviyBirjuch;1
Hor;Undirected;Snegurochka;1
Leshij;Undirected;Vesna;1
1-jhorberendeev;Undirected;ChucheloMasljanitsy;1
Berendej;Undirected;Lel;1
Kurilka;Undirected;Radushka;3
Bermjata;Undirected;Mizgir;2
Bobyl;Undirected;PrekrasnajaElena;1
Bobyliha;Undirected;Radushka;1
Snegurochka;Undirected;Vtoraja;1
Bermjata;Undirected;ElenaPrekrasnaja;1
Hor;Undirected;Vtoraja;1
Golosaiznaroda;Undirected;Obschijhor;1
Kupava;Undirected;Narod;1
Birjuch;Undirected;Bobyl;1
Mizgir;Undirected;Narod;2
Mizgir;Undirected;Vtoraja;1
Drugajastorona;Undirected;Mizgir;1
Malusha;Undirected;Snegurochka;3
Malusha;Undirected;Tsar;1
Lel;Undirected;Vtoraja;1
Bobyl;Undirected;Snegurochka;4
Odinberendej;Undirected;Snegurochka;1
Berendej;Undirected;Bobyl;1
Tsar;Undirected;VtorojBirjuch;1
Drugajastorona;Undirected;Odnastorona;1
Odnastorona;Undirected;Tsar;1
Mizgir;Undirected;Murash;2
Kupava;Undirected;Malysh;2
Brusilo;Undirected;Radushka;4
Bobyl;Undirected;Kupava;1
Otrok;Undirected;PerviyBirjuch;1
Bobyliha;Undirected;Murash;1
Murash;Undirected;Narod;1
Kurilka;Undirected;Malysh;1
Bermjata;Undirected;Tsar;3
2-jhor;Undirected;ChucheloMasljanitsy;1
Kurilka;Undirected;Mizgir;1
Devushkiiparni;Undirected;Malusha;1
Bermjata;Undirected;Hornaroda;1
Kupava;Undirected;Snegurochka;4
Leshij;Undirected;Moroz;1
Kupava;Undirected;PrekrasnajaElena;1
Odnastorona;Undirected;Pervaja;1
Mizgir;Undirected;PrekrasnajaElena;2
Bobyliha;Undirected;Mizgir;2
Bermjata;Undirected;Bobyliha;1
Odnastorona;Undirected;Snegurochka;1
1-jhorberendeev;Undirected;Berendei;1
Berendei;Undirected;Bobyl;1
Hornaroda;Undirected;PrekrasnajaElena;1
Bobyl;Undirected;ChucheloMasljanitsy;1
Kupava;Undirected;Radushka;3
Golosaizlesu;Undirected;Odinberendej;1
Kupava;Undirected;Kurilka;2
Kupava;Undirected;Tsar;2
Bobyliha;Undirected;Malusha;1
Malusha;Undirected;Vse;1
1-jhorberendeev;Undirected;Snegurochka;1
Golosaiznaroda;Undirected;Lel;1
Pervaja;Undirected;Tsar;1
Golosaiznaroda;Undirected;Vtoraja;1
Brusilo;Undirected;Lel;2
Gusljary(pojut);Undirected;PerviySkomoroh;1
Berendei;Undirected;Bobyliha;1
Moroz;Undirected;Vesna;2
Narod;Undirected;Tsar;2
Mizgir;Undirected;Snegurochka;6
PerviySkomoroh;Undirected;Tsar;1
Kupava;Undirected;Murash;2
Bobyliha;Undirected;ChucheloMasljanitsy;1
Murash;Undirected;Tsar;2
Bermjata;Undirected;Narod;2
Malusha;Undirected;Murash;2
Leshij;Undirected;Snegurochka;2
PrekrasnajaElena;Undirected;Snegurochka;1
Narod;Undirected;PrekrasnajaElena;2
Horptits;Undirected;Vesna-Krasna;1
Hornaroda;Undirected;Kupava;1
Golosaiznaroda;Undirected;Mizgir;1
Malusha;Undirected;Radushka;4
Leshij;Undirected;Vesna-Krasna;1
