Source;Target;Weight
DonKarlos;Gost;1
Gost;TretijGost;1
Laura;PervyjGost;1
DonGuan;Laura;1
DonKarlos;VtorojGost;1
DonGuan;DonaAnna;4
Laura;TretijGost;1
Gost;PervyjGost;1
Gost;VtorojGost;1
DonKarlos;TretijGost;1
DonaAnna;Leporello;1
DonGuan;Monah;2
TretijGost;VtorojGost;1
DonGuan;Statuja;1
DonKarlos;Laura;3
Gost;Laura;1
DonKarlos;PervyjGost;1
Leporello;Monah;2
DonGuan;Leporello;4
PervyjGost;TretijGost;1
DonGuan;DonKarlos;1
DonaAnna;Statuja;1
Laura;VtorojGost;1
PervyjGost;VtorojGost;1
DonaAnna;Monah;1
