Source;Target;Weight
Sidorka;Velkarov;1
Dasha;NjanjaVasilisa;6
Lukerja;NjanjaVasilisa;9
NjanjaVasilisa;Sidorka;2
Fekla;Lukerja;14
Lukerja;Sluga;1
NjanjaVasilisa;Velkarov;2
Sluga;Velkarov;1
Fekla;Semen;5
Fekla;NjanjaVasilisa;8
Dasha;Velkarov;3
Lukerja;Sidorka;2
Dasha;Lukerja;9
Fekla;Sidorka;2
Dasha;Liza;1
Semen;Sidorka;3
Dasha;Sidorka;3
Dasha;Semen;7
Liza;Semen;1
Semen;Velkarov;2
Dasha;Fekla;9
Lukerja;Semen;6
Lukerja;Velkarov;6
Fekla;Velkarov;6
NjanjaVasilisa;Semen;4
Fekla;Sluga;1
