Source;Target;Weight
Brigadir;Sovetnik;8
Brigadir;Brigadirsha;6
Brigadir;Sovetnitsa;11
Sovetnik;Sovetnitsa;9
Sofja;Syn;5
Sovetnik;Syn;7
Sluga;Sofja;1
Sluga;Sovetnik;1
Brigadir;Sofja;5
Dobroljubov;Sofja;7
Dobroljubov;Syn;5
Brigadir;Sluga;1
Brigadirsha;Syn;10
Sofja;Sovetnik;6
Brigadirsha;Dobroljubov;4
Brigadirsha;Sovetnik;6
Dobroljubov;Sovetnik;6
Sluga;Sovetnitsa;1
Sluga;Syn;1
Brigadirsha;Sluga;1
Brigadir;Syn;10
Sofja;Sovetnitsa;7
Brigadir;Dobroljubov;4
Brigadirsha;Sovetnitsa;7
Sovetnitsa;Syn;14
Dobroljubov;Sovetnitsa;8
Brigadirsha;Sofja;5
