Source;Target;Weight
Pervyj_dejstvije_4;Varvara;2
DrugojIzVozvrativshihsja;Vtoroj_dejstvije_5;1
DrugojIzVozvrativshihsja;Kabanova;1
DrugojIzVozvrativshihsja;Kabanov;1
Barynja;Katerina;1
Feklusha;Glasha;1
Barynja;Kabanova;1
Kabanova;OdinIzNaroda;1
Kudrjash;Shapkin;2
Kabanov;Vtoroj_dejstvije_4;1
OdinIzVozvrativshihsja;Vtoroj_dejstvije_5;1
Pervyj_dejstvije_5;Vtoroj_dejstvije_5;1
Dikoj;Pervyj_dejstvije_4;1
Drugoj;Tretij;1
Kabanov;OdinIzNaroda;1
Katerina;Kudrjash;2
Kabanova;Kuligin;3
Kabanova;Varvara;5
Kabanova;Vtoroj_dejstvije_4;1
Kabanov;Zhenschina;2
Feklusha;Kudrjash;1
Kabanov;Pervyj_dejstvije_4;2
Kuligin;Zhenschina;1
Kabanova;Vtoroj_dejstvije_5;1
Kabanova;Pervyj_dejstvije_4;2
Kuligin;NeskolkoGolosov;1
Kuligin;OdinIzNaroda;1
Drugoj;NeskolkoGolosov;1
Kabanov;Tretij;1
Kuligin;Pervyj_dejstvije_4;2
Boris;Dikoj;1
Boris;Kabanov;1
Boris;Pervyj_dejstvije_4;1
Pervyj_dejstvije_4;Zhenschina;3
Vtoroj_dejstvije_4;Zhenschina;2
Kuligin;Tretij;1
DrugojIzVozvrativshihsja;Pervyj_dejstvije_5;1
Dikoj;Kuligin;1
Dikoj;Kabanova;1
Boris;Varvara;6
Drugoj;Kabanova;1
Boris;Kuligin;4
Dikoj;Glasha;1
DrugojIzVozvrativshihsja;OdinIzVozvrativshihsja;1
Kabanov;Kabanova;10
Barynja;Kabanov;1
Katerina;Pervyj_dejstvije_4;2
Drugoj;Kabanov;1
Pervyj_dejstvije_4;Vtoroj_dejstvije_4;2
Boris;Kabanova;1
Kabanova;Pervyj_dejstvije_5;1
Kabanov;Katerina;7
Boris;Shapkin;1
Drugoj;OdinIzNaroda;1
Drugoj;Kuligin;1
Feklusha;Kuligin;1
Boris;Feklusha;1
Kabanov;OdinIzVozvrativshihsja;1
Katerina;Zhenschina;2
Kabanova;Tretij;1
Katerina;Varvara;12
Kabanova;OdinIzVozvrativshihsja;1
Kabanov;Pervyj_dejstvije_5;1
Barynja;Varvara;1
Kabanova;Zhenschina;2
Boris;Glasha;1
Katerina;Vtoroj_dejstvije_4;1
Kudrjash;Varvara;3
Kabanov;Kuligin;4
Kabanova;Katerina;5
OdinIzVozvrativshihsja;Pervyj_dejstvije_5;1
Feklusha;Kabanova;1
Kabanov;NeskolkoGolosov;1
Glasha;Kuligin;2
OdinIzNaroda;Tretij;1
Varvara;Vtoroj_dejstvije_4;1
Boris;Zhenschina;1
Glasha;Kabanova;1
Glasha;Kabanov;2
Boris;Katerina;4
Kabanov;Vtoroj_dejstvije_5;1
Katerina;Kuligin;1
Kabanov;Varvara;6
Kabanova;NeskolkoGolosov;1
Feklusha;Shapkin;1
Boris;Kudrjash;5
NeskolkoGolosov;OdinIzNaroda;1
NeskolkoGolosov;Tretij;1
Varvara;Zhenschina;2
Kuligin;Varvara;2
Kuligin;Shapkin;2
Kudrjash;Kuligin;2
Dikoj;Kabanov;1
