Source;Target;Weight
Muromskij;Tarelkin;8
Paramonov;Tarelkin;3
Knjaz;Varravin;4
Atueva;Tarelkin;3
Muromskij;Tishka;1
Muromskij;Vazhnoe_litso;1
Sherts;Tarelkin;2
Omega;Sherts;1
Atueva;Ivan_Sidorov;3
Gerts;Ibisov;1
Gerts;Shmerts;1
Chibisov;Shilo;2
Ivan_Sidorov;Tarelkin;3
Knjaz;Zhivets;1
Ibisov;Varravin;2
Lidochka;Tarelkin;2
Omega;Varravin;1
Omega;Shmerts;1
Golos;Tarelkin;1
Tarelkin;Zhivets;5
Tarelkin;Varravin;11
Chibisov;Gerts;1
Shmerts;Varravin;2
Chibisov;Sherts;3
Ibisov;Sherts;3
Gerts;Sherts;1
Muromskij;Zhivets;3
Vazhnoe_litso;Zhivets;1
Shilo;Varravin;1
Nelkin;Tishka;1
Tarelkin;Vazhnoe_litso;1
Lidochka;Tishka;1
Ibisov;Shmerts;3
Muromskij;Varravin;4
Shilo;Tarelkin;2
Omega;Tarelkin;1
Chibisov;Shmerts;3
Varravin;Vazhnoe_litso;1
Paramonov;Varravin;3
Omega;Shilo;1
Ibisov;Paramonov;2
Chibisov;Tarelkin;3
Ibisov;Tarelkin;3
Chibisov;Varravin;2
Varravin;Zhivets;4
Knjaz;Muromskij;2
Sherts;Shilo;2
Ibisov;Omega;1
Atueva;Nelkin;5
Knjaz;Paramonov;2
Muromskij;Paramonov;2
Shilo;Shmerts;2
Atueva;Muromskij;5
Tarelkin;Tishka;1
Muromskij;Nelkin;3
Ivan_Sidorov;Lidochka;4
Ivan_Sidorov;Muromskij;7
Sherts;Varravin;2
Knjaz;Tarelkin;1
Lidochka;Muromskij;7
Ibisov;Shilo;2
Knjaz;Vazhnoe_litso;1
Atueva;Lidochka;6
Chibisov;Ibisov;5
Shmerts;Tarelkin;2
Atueva;Tishka;1
Ivan_Sidorov;Nelkin;1
Lidochka;Nelkin;5
Gerts;Varravin;1
Sherts;Shmerts;3
Chibisov;Omega;1
Golos;Tishka;1
Chibisov;Paramonov;2
Paramonov;Zhivets;1
