Source;Target;Weight
Jakov;Shamraev;1
Shamraev;Treplev;3
Shamraev;Trigorin;6
Masha;Treplev;4
Jakov;Treplev;2
Nina;Treplev;6
Dorn;Nina;4
Arkadina;Dorn;9
Jakov;Trigorin;1
Shamraev;Sorin;3
Masha;Shamraev;3
Arkadina;PolinaAndreevna;7
Treplev;Trigorin;2
Jakov;Povar;1
Masha;Trigorin;5
Arkadina;Jakov;1
Dorn;Medvedenko;5
PolinaAndreevna;Sorin;5
Medvedenko;Sorin;7
Sorin;Treplev;6
Arkadina;Nina;5
Dorn;Shamraev;5
Arkadina;Medvedenko;6
Sorin;Trigorin;2
Dorn;Sorin;7
Medvedenko;PolinaAndreevna;5
PolinaAndreevna;Treplev;4
Dorn;Masha;8
Masha;Sorin;4
Arkadina;Trigorin;10
Dorn;Trigorin;4
Arkadina;Sorin;10
PolinaAndreevna;Trigorin;4
Medvedenko;Nina;1
Masha;PolinaAndreevna;7
Nina;Shamraev;1
Medvedenko;Trigorin;2
Masha;Nina;1
Nina;Sorin;5
Dorn;Treplev;3
PolinaAndreevna;Shamraev;4
Nina;PolinaAndreevna;3
Povar;Shamraev;1
Medvedenko;Treplev;4
Masha;Medvedenko;8
Arkadina;Povar;1
Nina;Trigorin;5
Arkadina;Shamraev;11
Medvedenko;Shamraev;2
Arkadina;Masha;6
Arkadina;Treplev;7
Dorn;PolinaAndreevna;8
