Source;Target;Weight
Neznakomka;Poet;2
KtoTo;Misha;1
Devushka;Vtoroj;1
Drugoj;MolodojChelovek;1
Pervyj;Sobesednik;1
Misha;Zvezdochet;1
Poet;RaznyeGolosa;1
Odin;Polovoj;1
Devushka;Odin;1
Neznakomka;Zhorzh;1
Goluboj;RazjarennyeDvorniki;1
Drugoj;Polovoj;1
Pervyj;Poet;1
PervyjSobutylnik;Poet;1
MolodojChelovek;Sobesednik;1
MolodojChelovek;Starik;1
Muzhchina;Verlen;1
Poet;TretijUsatyj;1
Pervyj;Vtoroj;1
ChelovekVPalto;PervyjSobutylnik;1
ChelovekVPalto;Sobesednik;1
TretijUsatyj;VtorojSobutylnik;1
ChelovekVPalto;MolodojChelovek;1
Seminarist;VtorojSobutylnik;1
KtoTo;Zvezdochet;1
Misha;MolodojChelovek;1
Drugoj_trete_videnie;RaznyeGolosa;1
Drugoj;Hozjain;1
Gospodin;RazjarennyeDvorniki;1
Misha;Starik;1
Odin;Sobesednik;1
Seminarist;Sobesednik;1
ChelovekVPalto;Gauptman;1
Pervyj;VtorojSobutylnik;1
Poet;Verlen;1
Starik;Zhorzh;1
MolodojChelovek;VtorojSobutylnik;1
Muzhchina;TretijUsatyj;1
Drugoj;Odin;1
Gospodin;Neznakomka;1
Hozjain_trete_videnie;Muzhchina;1
ChelovekVPalto;Odin;1
Muzhchina;Starik;1
Hozjain_trete_videnie;Hozjajka;1
Verlen;VtorojSobutylnik;1
Misha;Zhorzh;1
Devushka;Hozjain_trete_videnie;1
Gost;Hozjain_trete_videnie;1
ChelovekVPalto;Vtoroj;1
ChelovekVPalto;Polovoj;1
Drugoj_trete_videnie;Muzhchina;1
Devushka;PervyjSobutylnik;1
Drugoj;VtorojSobutylnik;1
Odin;VtorojSobutylnik;1
Devushka;KtoTo;1
Devushka;Misha;1
ChelovekVPalto;Pervyj;1
Drugoj;PervyjSobutylnik;1
Gauptman;Odin;1
PervyjSobutylnik;Sobesednik;1
Poet;RazjarennyeDvorniki;1
KtoTo;Starik;1
Verlen;Vtoroj;1
Poet;Starik;1
ChelovekVPalto;Poet;1
Hozjain_trete_videnie;Zhorzh;1
Polovoj;Seminarist;1
Drugoj;Sobesednik;1
Polovoj;Vtoroj;1
Devushka;Pervyj;1
Hozjajka;Neznakomka;1
Seminarist;TretijUsatyj;1
Pervyj;Polovoj;1
Drugoj_trete_videnie;Zhorzh;1
Devushka;Polovoj;1
Drugoj_trete_videnie;MolodojChelovek;1
Gauptman;Sobesednik;1
Muzhchina;Vtoroj;1
Misha;RaznyeGolosa;1
Hozjain;Muzhchina;1
Muzhchina;Odin;1
Hozjain_trete_videnie;Misha;1
Hozjain;TretijUsatyj;1
Pervyj;PervyjSobutylnik;1
Drugoj_trete_videnie;Misha;1
Hozjain;Vtoroj;1
Poet;Zvezdochet;2
Gost;Zvezdochet;1
Devushka;Hozjain;1
Devushka;Poet;2
MolodojChelovek;Verlen;1
ChelovekVPalto;Hozjain;1
Gospodin;Poet;1
Seminarist;Vtoroj;1
Hozjain_trete_videnie;KtoTo;1
Polovoj;Sobesednik;1
Sobesednik;Vtoroj;1
Drugoj_trete_videnie;KtoTo;1
Gauptman;Seminarist;1
Odin;Pervyj;1
Devushka;RaznyeGolosa;1
Starik;Zvezdochet;1
KtoTo;Neznakomka;1
Hozjain;Poet;1
RaznyeGolosa;Starik;1
ChelovekVPalto;Seminarist;1
Seminarist;Verlen;1
Odin;PervyjSobutylnik;1
Neznakomka;RazjarennyeDvorniki;1
Devushka;Gauptman;1
