Source;Target;Weight
Horev;Velkar;2
Edinyjvoin;Velkar;1
Kij;Zavloh;2
Kij;Nevolnik;1
Kij;Poslannyj;1
Stalverh;Strazhtemnits;1
Horev;Osnelda;4
Kij;Osnelda;1
Poslannyj;Velkar;1
Kij;Strazhtemnits;1
Astrada;Kij;1
Velkar;Zavloh;1
Edinyjvoin;Horev;1
Astrada;Horev;1
Horev;Zavloh;2
Edinyjvoin;Zavloh;1
Astrada;Osnelda;4
Strazhgradskihvorot;Strazhtemnits;1
Stalverh;Strazhgradskihvorot;1
Kij;Stalverh;3
Kij;Strazhgradskihvorot;1
Kij;Velkar;3
Edinyjvoin;Kij;1
Osnelda;Velkar;1
Horev;Kij;3
