Source;Target;Weight
Bobyl;ElenaPrekrasnaja;1
HorPtits;VesnaKrasna;1
Bobyl;Radushka;1
GolosaIzLesu;VtorojHorBerendeev;1
Kupava;Malysh;2
Lel;Snegurochka;9
DevushkiIParni;Murash;1
DrugajaStorona;Mizgir;1
Radushka;Snegurochka;4
Lel;OdnaStorona;1
Bobyliha;DevushkiIParni;1
Bermjata;Narod;2
Mizgir;Snegurochka;7
PerviySkomoroh;Tsar;1
Otrok;PerviyBirjuch;1
Bobyl;Mizgir;3
GolosaIzNaroda;OdnaStorona;1
Bermjata;Murash;1
Kurilka;Lel;2
Bermjata;Snegurochka;1
Bermjata;Bobyliha;1
ChucheloMasljanitsy;Snegurochka;1
Bobyl;VtorojHorBerendeev;1
ChucheloMasljanitsy;VtorojHorBerendeev;1
Snegurochka;VtorojHorBerendeev;1
Brusilo;Murash;2
Brusilo;Malusha;4
OdinBerendej;Snegurochka;1
Lel;Murash;3
GolosaIzNaroda;Lel;1
GolosaIzLesu;OdinBerendej;1
Malusha;Tsar;1
Bobyliha;OdinBerendej;1
GolosaIzLesu;Snegurochka;1
Kupava;Kurilka;3
Brusilo;Radushka;4
Kurilka;Mizgir;2
Berendei;ChucheloMasljanitsy;1
Bobyl;Snegurochka;5
Bobyliha;Brusilo;1
GolosaIzNaroda;ObschijHor;1
Leshij;Mizgir;1
Bobyliha;Malusha;1
DrugajaStorona;GolosaIzNaroda;1
Lel;Narod;1
Lel;Malusha;2
Bermjata;Mizgir;2
DevushkiIParni;Lel;1
Kurilka;Murash;2
Bobyliha;GolosaIzLesu;1
Bobyliha;Tsar;2
DevushkiIParni;Tsar;1
Berendei;GolosaIzLesu;1
Otrok;Tsar;2
Birjuch;Bobyliha;1
Malusha;Murash;2
Bobyliha;Murash;1
Murash;Radushka;2
Tsar;VtorojSkomoroh;1
DrugajaStorona;ObschijHor;1
Gusljary;VtorojSkomoroh;1
ElenaPrekrasnaja;Narod;2
Lel;Tsar;3
Murash;Tsar;2
Bobyliha;Snegurochka;5
ElenaPrekrasnaja;HorNaroda;1
DrugajaStorona;OdnaStorona;1
Kupava;Radushka;3
Berendej;Lel;1
Bobyl;Narod;1
Brusilo;Kurilka;4
ElenaPrekrasnaja;Murash;1
Kupava;Tsar;2
PerviyHorBerendeev;VtorojHorBerendeev;1
Bobyl;PerviyHorBerendeev;1
OdnaStorona;Snegurochka;1
Bobyl;Murash;2
Berendej;Murash;1
Birjuch;Bobyl;1
ElenaPrekrasnaja;Lel;2
Bobyliha;Radushka;1
Kupava;Murash;2
Brusilo;DevushkiIParni;1
OdinBerendej;VtorojHorBerendeev;1
Kupava;Malusha;3
ElenaPrekrasnaja;Kupava;1
Lel;Malysh;1
GolosaIzNaroda;Tsar;1
Bobyliha;Kupava;1
DrugajaStorona;Snegurochka;1
HorNaroda;Mizgir;1
OdnaStorona;Tsar;1
ChucheloMasljanitsy;PerviyHorBerendeev;1
GolosaIzNaroda;Snegurochka;1
Brusilo;Mizgir;2
Bermjata;Bobyl;1
Snegurochka;VesnaKrasna;3
Birjuch;Snegurochka;1
Berendej;Bobyl;1
PerviyHorBerendeev;Snegurochka;1
OdinBerendej;PerviyHorBerendeev;1
Kupava;PerviyBirjuch;1
PerviyBirjuch;VtorojBirjuch;1
Malusha;Snegurochka;4
Murash;Narod;1
Moroz;VesnaKrasna;2
Brusilo;Kupava;3
DrugajaStorona;Tsar;1
Bobyl;Kupava;2
DrugajaStorona;Lel;1
HorNaroda;Tsar;1
Kupava;Mizgir;4
Brusilo;Malysh;2
ChucheloMasljanitsy;OdinBerendej;1
Lel;Radushka;2
Bermjata;HorNaroda;1
Kurilka;Snegurochka;4
ObschijHor;Tsar;1
DevushkiIParni;Snegurochka;1
DevushkiIParni;Malusha;1
GolosaIzLesu;PerviyHorBerendeev;1
Berendei;Snegurochka;1
Bobyl;GolosaIzLesu;1
Radushka;Tsar;1
Mizgir;Murash;2
Malusha;Mizgir;2
Tsar;VtorojBirjuch;1
Bermjata;ElenaPrekrasnaja;3
