Source;Target;Weight
Bankomet;KnjazZvezdich;1
ChetvertyjjPonter_VyhodPervyj;VtorojjPonter_VyhodPervyj;1
ChetvertyjjGost_Bal;PervyjjGost_Bal;1
Igroki_VyhodVtoroj;PjatyjjPonter_VyhodVtoroj;1
Sluga_VyhodTretij;VtorojjIgrok_VyhodTretij;1
Dama_drugoj;Hozjajka;1
Gost;Maska_Neizvestnyj;1
Arbenin;Kazarin;4
Nina;VtorojjGost;1
Kazarin;PervyjjPonter_VyhodVtoroj;1
KnjazZvezdich;TretijjPonter_VyhodPervyj;1
Arbenin;ChetvertyjjPonter_VyhodVtoroj;1
PervyjjGost_Bal;TretijjGost_Bal;1
Baronessa;Nina;3
Hozjajka;VtorojjGost_Bal;1
Dama_Bal;Hozjajka;1
KnjazZvezdich;PervyjjPonter_VyhodVtoroj;1
Nina;PervyjjGost_Bal;1
ChetvertyjjPonter_VyhodVtoroj;KnjazZvezdich;1
ChetvertyjjPonter_VyhodVtoroj;TretijjPonter_VyhodVtoroj;1
ChetvertyjjGost_Bal;Dama_Bal;1
Mnogie;VtorojjGost_Bal;1
Chinovnik;KnjazZvezdich;1
Hozjajka;PervyjjGost_Bal;1
Bankomet;TretijjPonter_VyhodPervyj;1
KnjazZvezdich;TretijjPonter_VyhodVtoroj;1
KnjazZvezdich;ShestojjGost_Bal;1
ChetvertyjjPonter_VyhodPervyj;KnjazZvezdich;1
KnjazZvezdich;ZhenskajaMaska;2
ChetvertyjjPonter_VyhodVtoroj;PjatyjjPonter_VyhodVtoroj;1
Nina;PjatyjjGost_Bal;1
PervyjjPonter_VyhodVtoroj;TretijjPonter_VyhodVtoroj;1
Chinovnik;Nina;1
Arbenin;TretijjGost;1
ChetvertyjjGost_Bal;PjatyjjGost_Bal;1
TretijjPonter_VyhodPervyj;VtorojjPonter_VyhodPervyj;1
Dama;Dama_drugoj;1
PervyjjPonter_VyhodPervyj;Shprih;1
ChetvertyjjPonter_VyhodPervyj;PervyjjPonter_VyhodPervyj;1
Hozjajka;KnjazZvezdich;1
Bankomet;ChetvertyjjPonter_VyhodPervyj;1
Nina;TretijjGost_Bal;1
Igroki_VyhodVtoroj;VtorojjIgrok_VyhodVtoroj;1
Nina;Petkov;1
Hozjain;Sluga_VyhodTretij;1
Gost;VtorojjGost;1
Shprih;Sluga_VyhodTretij;1
Kazarin;TretijjPonter_VyhodVtoroj;1
Mnogie;Nina;1
Baronessa;KnjazZvezdich;4
Hozjain_N;Kazarin;2
PervyjjIgrok_VyhodTretij;VtorojjIgrok_VyhodTretij;1
Gost;TretijjGost;1
