Source;Target;Weight
Gaev;LjubovAndreevna;4
Jasha;Varja;4
Jasha;Trofimov;4
Dunjasha;Prohozhij;1
Anja;Trofimov;4
Anja;Jasha;4
Epihodov;Lopahin;4
Epihodov;Prohozhij;1
Dunjasha;Pischik;3
LjubovAndreevna;NachalnikStantsii;1
LjubovAndreevna;Pischik;3
Epihodov;Pischik;3
Gaev;Jasha;4
Dunjasha;Sharlotta;4
Anja;Epihodov;4
Gaev;Sharlotta;4
Firs;Pischik;3
Anja;Lopahin;4
Jasha;Lopahin;4
Jasha;LjubovAndreevna;4
Epihodov;Jasha;4
Sharlotta;Varja;4
Dunjasha;Jasha;4
Epihodov;Firs;4
Anja;Sharlotta;4
LjubovAndreevna;Prohozhij;1
Firs;Prohozhij;1
Anja;Varja;4
Firs;Varja;4
NachalnikStantsii;Varja;1
Firs;Sharlotta;4
Firs;LjubovAndreevna;4
Lopahin;Trofimov;4
Prohozhij;Trofimov;1
Firs;Jasha;4
Dunjasha;Lopahin;4
Epihodov;Sharlotta;4
Pischik;Varja;3
Firs;Gaev;4
Lopahin;Sharlotta;4
Epihodov;Gaev;4
Jasha;Sharlotta;4
Pischik;Trofimov;3
Firs;Lopahin;4
Prohozhij;Varja;1
Firs;NachalnikStantsii;1
Dunjasha;Varja;4
LjubovAndreevna;Lopahin;4
Epihodov;NachalnikStantsii;1
Anja;Pischik;3
Epihodov;Trofimov;4
NachalnikStantsii;Pischik;1
LjubovAndreevna;Varja;4
Lopahin;NachalnikStantsii;1
Gaev;Pischik;3
Gaev;Lopahin;4
Trofimov;Varja;4
NachalnikStantsii;Sharlotta;1
Dunjasha;Epihodov;4
Gaev;NachalnikStantsii;1
Dunjasha;Firs;4
Anja;Gaev;4
Anja;Firs;4
Sharlotta;Trofimov;4
Prohozhij;Sharlotta;1
Jasha;Pischik;3
Firs;Trofimov;4
Anja;Dunjasha;4
Lopahin;Pischik;3
Gaev;Trofimov;4
Pischik;Sharlotta;3
Jasha;Prohozhij;1
Jasha;NachalnikStantsii;1
Lopahin;Prohozhij;1
LjubovAndreevna;Trofimov;4
Dunjasha;Gaev;4
Dunjasha;LjubovAndreevna;4
Lopahin;Varja;4
Epihodov;Varja;4
Anja;Prohozhij;1
Dunjasha;NachalnikStantsii;1
NachalnikStantsii;Trofimov;1
Epihodov;LjubovAndreevna;4
LjubovAndreevna;Sharlotta;4
Gaev;Varja;4
Dunjasha;Trofimov;4
Gaev;Prohozhij;1
Anja;NachalnikStantsii;1
Anja;LjubovAndreevna;4
