Source;Target;Weight
AmmosFedorovichLjapkinTjapkin;ArtemijFilippoovich;1
AmmosFedorovichLjapkinTjapkin;OdnaIzDam;1
Bobchinskij;Korobkin;2
Gorodnichij;MarjaAntonovna;6
AnnaAndreevna;Gorodnichij;10
AnnaAndreevna;MnogieIzGostej;2
Korobkin;Kuptsy;1
ArtemijFilippovichZemljanika;Lekar;1
Gostja;MarjaAntonovna;2
AmmosFedorovichLjapkinTjapkin;ZhenaLukiLukicha;1
OdnaIzDam;Pochtmejster;1
ArtemijFilippovichZemljanika;MnogieIzGostej;2
Kuptsy;ZhenaKorobkina;1
ChastnyjPristav;Dobchinskij;3
ArtemijFilippovichZemljanika;ZhenaKorobkina;2
AnnaAndreevna;Hlestakov;5
AmmosFedorovichLjapkinTjapkin;AnnaAndreevna;2
LukaLukich;Lulukov;1
Bobchinskij;Kuptsy;1
ChastnyjPristav;Gostja;2
Kvartalnyj;Pochtmejster;1
Pochtmejster;Rastakovskij;1
AnnaAndreevna;Kuptsy;2
Lulukov;OdnaIzDam;1
AnnaAndreevna;Korobkin;2
Lekar;Pochtmejster;1
AmmosFedorovichLjapkinTjapkin;Hlestakov;1
ArtemijFilippovichZemljanika;Lulukov;1
Bobchinskij;Dobchinskij;8
AmmosFedorovichLjapkinTjapkin;Gorodnichij;5
Dobchinskij;LukaLukich;4
LukaLukich;Rastakovskij;2
Bobchinskij;ZhenaLukiLukicha;1
Gorodnichij;OdnaIzDam;1
Kuptsy;Osip;2
Korobkin;OdnaIzDam;1
AnnaAndreevna;MarjaAntonovna;12
Gorodnichij;Gostja;2
Derzhimorda;Hlestakov;1
Rastakovskij;ZhenaLukiLukicha;1
Kuptsy;OdnaIzDam;1
MarjaAntonovna;Pochtmejster;1
Bobchinskij;MnogieIzGostej;2
Dobchinskij;Lekar;1
AmmosFedorovichLjapkinTjapkin;Svistunov;1
AmmosFedorovichLjapkinTjapkin;Lekar;1
Derzhimorda;Gorodnichij;1
AnnaAndreevna;LukaLukich;2
MnogieIzGostej;Rastakovskij;2
Osip;Slesarsha;2
Bobchinskij;MarjaAntonovna;2
ArtemijFilippovichZemljanika;Pochtmejster;3
MarjaAntonovna;Osip;2
Kvartalnyj;LukaLukich;1
Gorodnichij;Lulukov;1
AnnaAndreevna;Rastakovskij;2
OdnaIzDam;Rastakovskij;1
Osip;Sluga;1
MarjaAntonovna;ZhenaLukiLukicha;1
AnnaAndreevna;ArtemijFilippovichZemljanika;2
Dobchinskij;Kuptsy;1
AnnaAndreevna;Pochtmejster;1
Bobchinskij;Svistunov;1
Korobkin;MarjaAntonovna;2
