Source;Target;Weight
Berkutov;Goretskij;1
Glafira;Lynjaev;8
Chugunov;Goretskij;1
Glafira;Goretskij;1
Glafira;Murzavetskaja;1
Chugunov;Kupavina;3
Kupavina;Pavlin;1
Anfusa;Murzavetskij;4
Chugunov;Lynjaev;1
Chugunov;Pavlin;3
Anfusa;Kupavina;8
Berkutov;Murzavetskaja;4
Kupavina;Lakej;3
Chugunov;Murzavetskaja;5
Goretskij;Lynjaev;1
Kupavina;Murzavetskaja;7
Chugunov;Murzavetskij;2
Anfusa;Chugunov;1
Berkutov;Pavlin;1
Lynjaev;Murzavetskij;1
Anfusa;Glafira;3
Berkutov;Lynjaev;4
Kupavina;Murzavetskij;4
Berkutov;Chugunov;3
Chugunov;Glafira;1
Lakej;Lynjaev;1
Berkutov;Kupavina;8
Glafira;Kupavina;6
Murzavetskaja;Murzavetskij;6
Lynjaev;Murzavetskaja;1
Anfusa;Murzavetskaja;4
Anfusa;Lynjaev;7
Glafira;Lakej;2
Anfusa;Berkutov;3
Berkutov;Glafira;2
Kupavina;Lynjaev;7
Berkutov;Lakej;2
Murzavetskaja;Pavlin;1
