Source;Target;Weight
Sluga;Syn;1
Sovetnitsa;Syn;14
Sluga;Sofja;1
Brigadir;Sluga;1
Brigadirsha;Sofja;5
Brigadirsha;Syn;10
Sluga;Sovetnik;1
Dobroljubov;Sovetnitsa;8
Brigadir;Sovetnik;8
Dobroljubov;Sofja;7
Sovetnik;Sovetnitsa;9
Brigadir;Syn;10
Dobroljubov;Syn;5
Brigadirsha;Sluga;1
Brigadir;Brigadirsha;6
Brigadirsha;Dobroljubov;4
Dobroljubov;Sovetnik;6
Sofja;Sovetnik;6
Sovetnik;Syn;7
Sluga;Sovetnitsa;1
Brigadir;Sovetnitsa;11
Sofja;Sovetnitsa;7
Brigadirsha;Sovetnitsa;7
Sofja;Syn;5
Brigadir;Sofja;5
Brigadir;Dobroljubov;4
Brigadirsha;Sovetnik;6
