"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Alber";4;0,25;4;4;4;0,6
"2";"Baron";0;0,166666666666667;2;2;6;0,6
"3";"Ivan";0;0,166666666666667;2;2;6;0,6
"4";"Gertsog";0;0,166666666666667;2;2;6;0,6
"5";"Zhid";0;0,166666666666667;2;2;6;0,6
