"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Bojare";174,214682539683;0,00684931506849315;26;21;146;0,138738738738739
"2";"Plennik";0;0,00591715976331361;4;4;169;0,138738738738739
"3";"Malchishki";0;0,00641025641025641;12;12;156;0,138738738738739
"4";"Muzhiknaamvone";0;0,00529100529100529;2;2;189;0,138738738738739
"5";"Grigorij";73;0,00505050505050505;12;12;198;0,138738738738739
"6";"Nischij";0;0,00617283950617284;9;9;162;0,138738738738739
"7";"Schelkalov";0;0,00552486187845304;4;4;181;0,138738738738739
"8";"Ljah";18,5706349206349;0,00609756097560976;7;6;164;0,138738738738739
"9";"Kurbskij";0;0,00485436893203884;10;9;206;0,138738738738739
"10";"Feodor";63,7526695526695;0,00680272108843537;24;20;147;0,138738738738739
"11";"Boris";0;0,00492610837438424;4;4;203;0,138738738738739
"12";"Drugoj";1142,12283549784;0,0087719298245614;58;40;114;0,138738738738739
"13";"Poet";0;0,00485436893203884;9;9;206;0,138738738738739
"14";"Samozvanets";358,451587301587;0,00662251655629139;19;15;151;0,138738738738739
"15";"Staruha";0;0,00641025641025641;12;12;156;0,138738738738739
"16";"Jurodivyj";0;0,00641025641025641;12;12;156;0,138738738738739
"17";"Chetvertyj";9,45833333333333;0,00662251655629139;22;17;151;0,138738738738739
"18";"Semengodunov";0;0,00520833333333333;5;5;192;0,138738738738739
"19";"Gavrilapushkin";0;0,00485436893203884;9;9;206;0,138738738738739
"20";"Basmanov";67,4861111111111;0,00649350649350649;17;15;154;0,138738738738739
"21";"Marzheret";0;0,00568181818181818;7;7;176;0,138738738738739
"22";"Mosalskij";0;0,00617283950617284;9;9;162;0,138738738738739
"23";"Shujskij";121,763492063492;0,00591715976331361;12;11;169;0,138738738738739
"24";"Mamka";0;0,00520833333333333;5;5;192;0,138738738738739
"25";"Hozjajka";0;0,0050251256281407;11;11;199;0,138738738738739
"26";"Odinizbegletsov";0;0,00568181818181818;7;7;176;0,138738738738739
"27";"Malchishka";0;0,00641025641025641;12;12;156;0,138738738738739
"28";"Odiniznih";0;0,00641025641025641;12;12;156;0,138738738738739
"29";"Pristav";0;0,0050251256281407;11;11;199;0,138738738738739
"30";"Odin";28,7142316017316;0,00675675675675676;32;20;148;0,138738738738739
"31";"Ksenija";37,1702561327561;0,00649350649350649;14;13;154;0,138738738738739
"32";"Lzhedimitrij";0;0,00471698113207547;3;3;212;0,138738738738739
"33";"Karela";0;0,00485436893203884;9;9;206;0,138738738738739
"34";"Hruschov";0;0,00485436893203884;9;9;206;0,138738738738739
"35";"Voiny";0;0,00568181818181818;7;7;176;0,138738738738739
"36";"Igumen";0;0,00403225806451613;1;1;248;0,138738738738739
"37";"Bojarin";0;0,00588235294117647;10;10;170;0,138738738738739
"38";"Pervyj";465,208333333333;0,0072992700729927;40;30;137;0,138738738738739
"39";"Marina";280;0,00478468899521531;6;6;209;0,138738738738739
"40";"Misail";0;0,0050251256281407;11;11;199;0,138738738738739
"41";"Narod";190,952398989899;0,00735294117647059;33;23;136;0,138738738738739
"42";"Odinpristav";0;0,0050251256281407;11;11;199;0,138738738738739
"43";"Dimitrij";163,219047619048;0,00625;9;9;160;0,138738738738739
"44";"Drugojpristav";0;0,0050251256281407;11;11;199;0,138738738738739
"45";"Baba";0;0,00595238095238095;6;6;168;0,138738738738739
"46";"Poljak";0;0,00485436893203884;9;9;206;0,138738738738739
"47";"Varlaam";0;0,0050251256281407;11;11;199;0,138738738738739
"48";"Knjazshujskij";0;0,00568181818181818;6;6;176;0,138738738738739
"49";"Dama";0;0,003584229390681;4;4;279;0,138738738738739
"50";"Strazha";0;0,00617283950617284;9;9;162;0,138738738738739
"51";"Pervyjbojarin";0;0,00568181818181818;6;6;176;0,138738738738739
"52";"Ljahi";0;0,00568181818181818;7;7;176;0,138738738738739
"53";"Nemtsy";0;0,00568181818181818;7;7;176;0,138738738738739
"54";"Malchik";0;0,00458715596330275;2;2;218;0,138738738738739
"55";"Kavaler";0;0,003584229390681;4;4;279;0,138738738738739
"56";"Pristavy";0;0,0050251256281407;11;11;199;0,138738738738739
"57";"Patriarh";73;0,00571428571428571;7;7;175;0,138738738738739
"58";"Pjatyj";0;0,00588235294117647;10;10;170;0,138738738738739
"59";"Pervyjpristav";0;0,0050251256281407;11;11;199;0,138738738738739
"60";"Pushkin";275,649007936508;0,00645161290322581;17;16;155;0,138738738738739
"61";"Tretij";50,846645021645;0,00699300699300699;41;25;143;0,138738738738739
"62";"Mnishek";0;0,003584229390681;4;4;279;0,138738738738739
"63";"Tsar";174,058621933622;0,00714285714285714;35;26;140;0,138738738738739
"64";"Pater";0;0,00485436893203884;9;9;206;0,138738738738739
"65";"Odinbojarin";0;0,00568181818181818;6;6;176;0,138738738738739
"66";"Odiniznaroda";0;0,00617283950617284;9;9;162;0,138738738738739
"67";"Vtoroj";236,190476190476;0,0065359477124183;19;17;153;0,138738738738739
"68";"Knjazvorotynskij";0;0,00492610837438424;4;4;203;0,138738738738739
"69";"Shestoj";0;0,00588235294117647;10;10;170;0,138738738738739
"70";"Vse";112,170634920635;0,00632911392405063;13;12;158;0,138738738738739
"71";"Vrozen";0;0,00568181818181818;7;7;176;0,138738738738739
"72";"Vtorojpristav";0;0,0050251256281407;11;11;199;0,138738738738739
"73";"Vorotynskij";0;0,00492610837438424;5;4;203;0,138738738738739
"74";"Vishnevetskij";0;0,003584229390681;4;4;279;0,138738738738739
"75";"Pimen";0;0,003690036900369;1;1;271;0,138738738738739
