"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Hor";0;0,0294117647058824;6;6;34;0,8
"2";"Graf";0;0,0434782608695652;49;17;23;0,8
"3";"Nineta";10,5;0,05;26;20;20;0,8
"4";"Oba";0;0,0434782608695652;28;17;23;0,8
"5";"Paulin";0;0,0434782608695652;41;17;23;0,8
"6";"Filipp";0;0,0434782608695652;46;17;23;0,8
"7";"Filippiblez";0;0,0434782608695652;17;17;23;0,8
"8";"Zhaneta";10,5;0,05;27;20;20;0,8
"9";"ZhuletaZhanetainineta";0;0,0434782608695652;17;17;23;0,8
"10";"NinetaGraf";0;0,0434782608695652;17;17;23;0,8
"11";"Blez";10,5;0,05;41;20;20;0,8
"12";"Blezifilipp";0;0,0434782608695652;17;17;23;0,8
"13";"Muzhiki";0;0,0294117647058824;6;6;34;0,8
"14";"Zhanetainineta";0;0,0434782608695652;17;17;23;0,8
"15";"Zhuleta";0;0,0434782608695652;44;17;23;0,8
"16";"Vmeste";0;0,0434782608695652;17;17;23;0,8
"17";"Vse";10,5;0,05;33;20;20;0,8
"18";"Rabotnikiidocheribleza";0;0,0294117647058824;6;6;34;0,8
"19";"Zhuletainineta";0;0,0434782608695652;17;17;23;0,8
"20";"Zhanetaipaulin";0;0,0434782608695652;17;17;23;0,8
"21";"Zhuletaizhaneta";0;0,0434782608695652;17;17;23;0,8
