"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Shishkengolymiminahristianovna";0;0,0526315789473684;9;9;19;0,857142857142857
"2";"ShishkengolmMinahristianovnailiza";0;0,0588235294117647;11;11;17;0,857142857142857
"3";"Hor";2,14285714285714;0,0714285714285714;20;14;14;0,857142857142857
"4";"Liza";2,14285714285714;0,0714285714285714;20;14;14;0,857142857142857
"5";"Minahristianovna";0;0,0588235294117647;11;11;17;0,857142857142857
"6";"Kasimovivihorin";2,14285714285714;0,0714285714285714;20;14;14;0,857142857142857
"7";"Vihorinikasimov";0;0,0588235294117647;11;11;17;0,857142857142857
"8";"Kasimov";0;0,0588235294117647;12;11;17;0,857142857142857
"9";"Shishkengolm";2,14285714285714;0,0714285714285714;20;14;14;0,857142857142857
"10";"Ivanov";2,14285714285714;0,0714285714285714;21;14;14;0,857142857142857
"11";"Shishkengolmiprochie";0;0,0526315789473684;9;9;19;0,857142857142857
"12";"Vihorin";0;0,0588235294117647;11;11;17;0,857142857142857
"13";"Shishkengolmiminahristianovna";2,14285714285714;0,0714285714285714;20;14;14;0,857142857142857
"14";"Kurtsgalop";0;0,0526315789473684;9;9;19;0,857142857142857
"15";"Vse";2,14285714285714;0,0714285714285714;20;14;14;0,857142857142857
