"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Hozjain";60;0,025;37;34;40;0,522048364153627
"2";"Drugoj";60;0,025;37;34;40;0,522048364153627
"3";"Seminarist";0;0,0181818181818182;19;19;55;0,522048364153627
"4";"Devushka";0;0,0181818181818182;19;19;55;0,522048364153627
"5";"Kto-To";0;0,0178571428571429;18;18;56;0,522048364153627
"6";"Molodojchelovek";60;0,025;37;34;40;0,522048364153627
"7";"Pervyjsobutylnik";0;0,0181818181818182;19;19;55;0,522048364153627
"8";"Sobesednik";0;0,0181818181818182;19;19;55;0,522048364153627
"9";"Hozjajka";0;0,0178571428571429;18;18;56;0,522048364153627
"10";"Chelovekvpalto";0;0,0181818181818182;19;19;55;0,522048364153627
"11";"Molodojchelovekmisha";0;0,0178571428571429;18;18;56;0,522048364153627
"12";"Ryzhijgospodin";0;0,0178571428571429;18;18;56;0,522048364153627
"13";"Starik";0;0,0178571428571429;18;18;56;0,522048364153627
"14";"Egosobesednik";0;0,0181818181818182;19;19;55;0,522048364153627
"15";"Pervyj";0;0,0181818181818182;19;19;55;0,522048364153627
"16";"Tretijusatyj";0;0,0181818181818182;19;19;55;0,522048364153627
"17";"Goloshozjaina";0;0,0178571428571429;18;18;56;0,522048364153627
"18";"Odin";0;0,0181818181818182;19;19;55;0,522048364153627
"19";"Goluboj";0;0,0144927536231884;5;5;69;0,522048364153627
"20";"Gauptman";0;0,0181818181818182;19;19;55;0,522048364153627
"21";"Golosgostja";0;0,0178571428571429;18;18;56;0,522048364153627
"22";"Muzhchina";0;0,0181818181818182;19;19;55;0,522048364153627
"23";"Dama";0;0,0178571428571429;18;18;56;0,522048364153627
"24";"Gost";0;0,0178571428571429;18;18;56;0,522048364153627
"25";"Molodojchelovekzhorzh";0;0,0178571428571429;18;18;56;0,522048364153627
"26";"Neznakomka";16;0,0188679245283019;23;21;53;0,522048364153627
"27";"Razjarennyedvorniki";0;0,0144927536231884;5;5;69;0,522048364153627
"28";"Hozjaindoma";0;0,0178571428571429;18;18;56;0,522048364153627
"29";"Misha";0;0,0178571428571429;18;18;56;0,522048364153627
"30";"Sobutylnik";0;0,0181818181818182;19;19;55;0,522048364153627
"31";"Polovoj";0;0,0181818181818182;19;19;55;0,522048364153627
"32";"Gospodin";0;0,0144927536231884;5;5;69;0,522048364153627
"33";"Verlen";0;0,0181818181818182;19;19;55;0,522048364153627
"34";"Poet";124;0,027027027027027;42;37;37;0,522048364153627
"35";"Zhorzh";0;0,0178571428571429;18;18;56;0,522048364153627
"36";"Vtoroj";0;0,0181818181818182;19;19;55;0,522048364153627
"37";"Vtorojsobutylnik";0;0,0181818181818182;19;19;55;0,522048364153627
"38";"Zvezdochet";16;0,0188679245283019;23;21;53;0,522048364153627
