"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Lopahin";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"2";"Jasha";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"3";"Epihodov";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"4";"Gaev";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"5";"Dunjasha";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"6";"LjubovAndreevna";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"7";"Pischik";0;0,0714285714285714;34;12;14;0,978021978021978
"8";"Anja";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"9";"Nachalnikstantsii";0;0,0714285714285714;12;12;14;0,978021978021978
"10";"Firs";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"11";"Prohozhij";0;0,0666666666666667;11;11;15;0,978021978021978
"12";"Trofimov";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"13";"Sharlotta";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
"14";"Varja";0,181818181818182;0,0769230769230769;45;13;13;0,978021978021978
