"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Lakej";0;0,0769230769230769;13;13;13;1
"2";"Aplombov";0;0,0769230769230769;13;13;13;1
"3";"Kavalery";0;0,0769230769230769;13;13;13;1
"4";"";0;0,0769230769230769;13;13;13;1
"5";"Jat";0;0,0769230769230769;13;13;13;1
"6";"Mozgovoj";0;0,0769230769230769;13;13;13;1
"7";"NastasjaTimofeevna";0;0,0769230769230769;13;13;13;1
"8";"Njunin";0;0,0769230769230769;13;13;13;1
"9";"Dashenka";0;0,0769230769230769;13;13;13;1
"10";"Revunov";0;0,0769230769230769;13;13;13;1
"11";"Shafer";0;0,0769230769230769;13;13;13;1
"12";"Dymba";0;0,0769230769230769;13;13;13;1
"13";"Zhigalov";0;0,0769230769230769;13;13;13;1
"14";"Zmejukina";0;0,0769230769230769;13;13;13;1
