"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Chuzhojlakej";1,5;0,0555555555555556;9;5;18;0,318181818181818
"2";"Grigorij";40;0,0833333333333333;15;10;12;0,318181818181818
"3";"Gospodinvshube";0;0,0476190476190476;2;2;21;0,318181818181818
"4";"Devushka";0;0,0476190476190476;2;2;21;0,318181818181818
"5";"Gospodin";0;0,0476190476190476;2;2;21;0,318181818181818
"6";"Dvoretskij";10;0,0526315789473684;3;3;19;0,318181818181818
"7";"Barin";0;0,0476190476190476;2;2;21;0,318181818181818
"8";"Chuzhojsluga";0;0,0526315789473684;4;4;19;0,318181818181818
"9";"Annushka";0;0,0344827586206897;1;1;29;0,318181818181818
"10";"Ivan";1,5;0,0555555555555556;8;5;18;0,318181818181818
"11";"Puzatyjdvoretskij";0;0,05;2;2;20;0,318181818181818
"12";"Petr";0;0,0526315789473684;4;4;19;0,318181818181818
