"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Ivanov";8,86973304473304;0,0476190476190476;46;11;21;0,588235294117647
"2";"Baryshni";0;0,0384615384615385;6;6;26;0,588235294117647
"3";"AnnaPetrovna";0;0,03125;11;4;32;0,588235294117647
"4";"Babakina";6,53658008658009;0,0526315789473684;31;13;19;0,588235294117647
"5";"TretijGost";1,12222222222222;0,0416666666666667;18;9;24;0,588235294117647
"6";"Sasha";2,23181818181818;0,0476190476190476;36;11;21;0,588235294117647
"7";"Shabelskij";4,10526695526696;0,0476190476190476;43;11;21;0,588235294117647
"8";"PerviyGost";0,555555555555555;0,04;15;8;25;0,588235294117647
"9";"AvdotjaNazarovna";6,53658008658009;0,0526315789473684;27;13;19;0,588235294117647
"10";"Lebedev";12,3540404040404;0,0526315789473684;49;13;19;0,588235294117647
"11";"Kosyh";4,82882395382395;0,05;21;12;20;0,588235294117647
"12";"Borkin";4,10526695526696;0,0476190476190476;34;11;21;0,588235294117647
"13";"Egorushka";0;0,037037037037037;7;7;27;0,588235294117647
"14";"Gosti";0;0,03125;2;2;32;0,588235294117647
"15";"Lvov";2,33639971139971;0,0434782608695652;25;9;23;0,588235294117647
"16";"VtorojGost";0;0,037037037037037;7;7;27;0,588235294117647
"17";"ZinaidaSavishna";8,41771284271284;0,0526315789473684;34;13;19;0,588235294117647
