"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density";"file";"author"
"49";"MarijaVasilevna";0;0,1;23;8;10;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"50";"ElenaAndreevna";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"51";"Marina";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"52";"Sonja";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"53";"Serebrjakov";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"54";"Rabotnik";0;0,1;16;8;10;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"55";"Astrov";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"56";"Telegin";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"57";"Vojnitskij";0,285714285714286;0,111111111111111;30;9;9;0,955555555555555;"Chehov_Djadja_Vanja.csv";"Chehov"
"58";"Ivanov";8,86973304473304;0,0476190476190476;46;11;21;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"59";"Baryshni";0;0,0384615384615385;6;6;26;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"60";"AnnaPetrovna";0;0,03125;11;4;32;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"61";"Babakina";6,53658008658009;0,0526315789473684;31;13;19;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"62";"TretijGost";1,12222222222222;0,0416666666666667;18;9;24;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"63";"Sasha";2,23181818181818;0,0476190476190476;36;11;21;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"64";"Shabelskij";4,10526695526696;0,0476190476190476;43;11;21;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"65";"PerviyGost";0,555555555555555;0,04;15;8;25;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"66";"AvdotjaNazarovna";6,53658008658009;0,0526315789473684;27;13;19;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"67";"Lebedev";12,3540404040404;0,0526315789473684;49;13;19;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"68";"Kosyh";4,82882395382395;0,05;21;12;20;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"69";"Borkin";4,10526695526696;0,0476190476190476;34;11;21;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"70";"Egorushka";0;0,037037037037037;7;7;27;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"71";"Gosti";0;0,03125;2;2;32;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"72";"Lvov";2,33639971139971;0,0434782608695652;25;9;23;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"73";"VtorojGost";0;0,037037037037037;7;7;27;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"74";"ZinaidaSavishna";8,41771284271284;0,0526315789473684;34;13;19;0,588235294117647;"Chehov_Ivanov.csv";"Chehov"
"75";"Djadin";1,25555555555556;0,0833333333333333;71;12;12;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"76";"Sonja";0,222222222222222;0,0769230769230769;61;11;13;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
"77";"Vojnitskij";0,833333333333333;0,0769230769230769;64;11;13;0,897435897435897;"Chehov_Leshii.csv";"Chehov"
