"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Ivan";0,111111111111111;0,1;38;10;10;0,981818181818182
"2";"Ogudalova";0,111111111111111;0,1;46;10;10;0,981818181818182
"3";"Karandyshev";0,111111111111111;0,1;46;10;10;0,981818181818182
"4";"Larisa";0,111111111111111;0,1;49;10;10;0,981818181818182
"5";"Paratov";0,111111111111111;0,1;63;10;10;0,981818181818182
"6";"EvfrosinjaPotapovna";0;0,0909090909090909;15;9;11;0,981818181818182
"7";"Knurov";0,111111111111111;0,1;55;10;10;0,981818181818182
"8";"Ilja";0,111111111111111;0,1;15;10;10;0,981818181818182
"9";"Robinzon";0,111111111111111;0,1;57;10;10;0,981818181818182
"10";"Gavrilo";0;0,0909090909090909;23;9;11;0,981818181818182
"11";"Vozhevatov";0,111111111111111;0,1;67;10;10;0,981818181818182
