"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Damavchernom";0;0,037037037037037;27;27;27;1
"2";"Kokoshkin";0;0,037037037037037;27;27;27;1
"3";"Kto-to";0;0,037037037037037;27;27;27;1
"4";"Damy";0;0,037037037037037;27;27;27;1
"5";"Kotelnikov";0;0,037037037037037;27;27;27;1
"6";"Komik";0;0,037037037037037;27;27;27;1
"7";"Kuzma";0;0,037037037037037;27;27;27;1
"8";"Ofitseriztolpy";0;0,037037037037037;27;27;27;1
"9";"Student";0;0,037037037037037;27;27;27;1
"10";"O.Aleksej";0;0,037037037037037;27;27;27;1
"11";"Djakon";0;0,037037037037037;27;27;27;1
"12";"Matveev";0;0,037037037037037;27;27;27;1
"13";"O.Ivan";0;0,037037037037037;27;27;27;1
"14";"Olenina";0;0,037037037037037;27;27;27;1
"15";"Djachok";0;0,037037037037037;27;27;27;1
"16";"Molodojakter";0;0,037037037037037;27;27;27;1
"17";"O.Nikolaj";0;0,037037037037037;27;27;27;1
"18";"Baryshnja";0;0,037037037037037;27;27;27;1
"19";"Sabinin";0;0,037037037037037;27;27;27;1
"20";"Arhierejskijhor";0;0,037037037037037;27;27;27;1
"21";"Kokoshkina";0;0,037037037037037;27;27;27;1
"22";"Sobornyjhor";0;0,037037037037037;27;27;27;1
"23";"Hor";0;0,037037037037037;27;27;27;1
"24";"Patronnikov";0;0,037037037037037;27;27;27;1
"25";"Tovarischprokurora";0;0,037037037037037;27;27;27;1
"26";"Volgin";0;0,037037037037037;27;27;27;1
"27";"Vtolpe";0;0,037037037037037;27;27;27;1
"28";"Zonenshtejn";0;0,037037037037037;27;27;27;1
