"";"author";"file";"max_degree";"average_degree";"density";"average_path_length";"max_path_length"
"1";"Bulgakov";"Bulgakov_Dni_Turbinyh.csv";24;12,9714285714286;0,381512605042017;61,3142857142857;81
"2";"Chehov";"Chehov_Chaika.csv";11;10,8333333333333;0,984848484848485;11,1666666666667;12
"3";"Chehov";"Chehov_Djadja_Vanja.csv";9;8,6;0,955555555555555;9,4;11
"4";"Chehov";"Chehov_Ivanov.csv";13;9,41176470588235;0,588235294117647;23,2941176470588;32
"5";"Chehov";"Chehov_Leshii.csv";12;10,7692307692308;0,897435897435898;13,2307692307692;18
"6";"Chehov";"Chehov_Medved.csv";2;2;1;2;2
"7";"Chehov";"Chehov_Na_bolshoi_doroge.csv";11;8,16666666666667;0,742424242424242;13,8333333333333;20
"8";"Chehov";"Chehov_Noch_pered_sudom.csv";3;3;1;3;3
"9";"Chehov";"Chehov_Svadba.csv";13;13;1;13;13
"10";"Chehov";"Chehov_Tatjana_Repina.csv";27;27;1;27;27
"11";"Chehov";"Chehov_Tragik_ponevole.csv";1;1;1;1;1
"12";"Chehov";"Chehov_Tri_sestry.csv";13;13;1;13;13
"13";"Chehov";"Chehov_Vishnevyi_sad.csv";13;12,7142857142857;0,978021978021978;13,2857142857143;15
"14";"Fonvizin";"Fonvizin_Brigadir.csv";7;6,75;0,964285714285714;7,25;8
"15";"Fonvizin";"Fonvizin_Nedorosl.csv";12;9,2;0,657142857142857;19,2;28
"16";"Gogol";"Gogol_Lakeiskaja.csv";10;3,5;0,318181818181818;19,8333333333333;29
"17";"Gogol";"Gogol_Otryvok.csv";3;2;0,666666666666667;4;5
"18";"Gogol";"Gogol_Predlozhenie.csv";2;2;1;2;2
"19";"Gogol";"Gogol_Revizor.csv";35;12,1333333333333;0,275757575757576;83,5111111111111;116
"20";"Gogol";"Gogol_Teatralnyi_razezd_posle_predstavlenija_novoi_komedii.csv";87;87;1;87;87
"21";"Gogol";"Gogol_Tjazhba.csv";2;1,33333333333333;0,666666666666667;2,66666666666667;3
"22";"Gogol";"Gogol_Utro_delovogo_cheloveka.csv";4;2;0,5;6;7
"23";"Gogol";"Gogol_Zhenitba.csv";13;6,66666666666667;0,392156862745098;30,2222222222222;47
"24";"Gorkij";"Gorkij_Egor_Bulychov_i_drugie.csv";21;18,4545454545455;0,878787878787879;23,5454545454545;33
"25";"Gorkij";"Gorkij_Na_dne.csv";17;14,4444444444444;0,849673202614379;19,5555555555556;31
"26";"Ostrovskij";"Ostrovskij_Bednost_ne_porok.csv";17;13;0,764705882352941;21;32
"27";"Ostrovskij";"Ostrovskij_Bespridannitsa.csv";10;9,81818181818182;0,981818181818182;10,1818181818182;11
"28";"Ostrovskij";"Ostrovskij_Groza.csv";22;14,4347826086957;0,656126482213439;29,5652173913043;34
"29";"Ostrovskij";"Ostrovskij_Svoi_ljudi_—_sochtemsja.csv";7;7;1;7;7
"30";"Ostrovskij";"Ostrovskij_Volki_i_ovtsy.csv";9;6,90909090909091;0,690909090909091;13,0909090909091;16
