"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Kuzma";0;0,0714285714285714;8;8;14;0,742424242424242
"2";"Bortsov";1,95238095238095;0,0833333333333333;25;10;12;0,742424242424242
"3";"Goloszadverju";0;0,0714285714285714;8;8;14;0,742424242424242
"4";"Efimovna";0,285714285714286;0,0769230769230769;21;9;13;0,742424242424242
"5";"Golosizugla";0,285714285714286;0,0769230769230769;21;9;13;0,742424242424242
"6";"Fedja";4,28571428571429;0,0833333333333333;23;10;12;0,742424242424242
"7";"MarjaEgorovna";0;0,0555555555555556;4;4;18;0,742424242424242
"8";"Merik";1,95238095238095;0,0833333333333333;19;10;12;0,742424242424242
"9";"Nazarovna";1;0,0714285714285714;17;8;14;0,742424242424242
"10";"Savva";0,285714285714286;0,0769230769230769;21;9;13;0,742424242424242
"11";"Kucher";0;0,05;2;2;20;0,742424242424242
"12";"Tihon";6,95238095238095;0,0909090909090909;27;11;11;0,742424242424242
