play name	written	print	number of stages	len_stages_words	len_speeches_words	total_number_of_verbs	verbs set	number of unique verbs	stages_to_speeches_ratio	verb_diversity(uniqueverbs/totalverbs)	verbs_share_in_stages	av_stage_length
Егор Булычов и другие	1931	1932	199	2501	19346	268	ворчать,замечать,оставаться,оставлять,отходить,подбегать,дуть,гладить,гореть,падать,посмеиваться,встрепывать,смотреть,садиться,рассматривать,откидываться,спорить,обнимать,стоять,шептаться,улыбаться,замахиваться,подумать,укладывать,наклонить,усмехаться,кричать,слышать,торопиться,подражать,вскакивать,припадать,пропотевать,убегать,качать,трубить,заглядывать,уходить,пятиться,гудеть,удивлять,кружиться,быть,идти,выругаться,вбегать,позевнуть,покачнуться,стучать,врываться,притопывать,глядеть,поддерживать,сдвигать,бежать,останавливаться,подкрадываться,пить,тащить,щупать,шептать,вырывать,закуривать,шепнуть,писать,входить,зацепляться,придерживать,перехватывать,вставать,бить,хотеть,держаться,обходить,смеяться,сходить,шаркать,поклониться,прижимать,встречать,махать,мыть,рычать,вздыхать,оглядываться,чертить,щелкнуть,хмуриться,спускаться,исчезать,вести,взять,топать,танцевать,подавать,переставать,упасть,петь,плакать,ошалевать,притоптывать,повертеть,затворять,кривить,осматриваться,бормотать,целовать,пропотеть,взвизгивать,вытаскивать,ложиться,спрятаться,придерживаться,возиться,брать,нахмуриться,отмахиваться,возвращаться,махнуть,зевнуть,зажимать,откашливаться,молчать,прибегать,плясать,подходить,выходить,сидеть,слушать,отрываться,изумлять,шевелиться,напевать,кашлять,говорить,	135	0.1292773699989662	0.503731343283582	0.10715713714514194	12.5678391959799
Вечер в Сорренте	1852	1888	144	1761	6595	175	чесать,помолчать,играть,вскакивать,вставать,дергать,искать,хотеть,отворяться,смеяться,обращать,стучаться,доставать,качать,брать,петь,бросаться,уходить,протягивать,перебивать,махать,отходить,подбегать,представлять,схватывать,наклоняться,бывать,стараться,краснеть,восклицать,вертеть,посмотреть,падать,оглядываться,вздыхать,идти,двигаться,садиться,удерживать,передразнивать,кланяться,стучать,звонить,потуплять,взглядывать,вздрагивать,глядеть,делать,молчать,выбегать,раздаваться,оборачивать,обращаться,видеть,конфузиться,издавать,подходить,улыбаться,снимать,сидеть,ходить,выказываться,выходить,стоять,слушать,трепать,выскакивать,ставить,поглядеть,спать,звать,противиться,кричать,входить,соединять,стоить,шевелиться,надевать,обвертывать,кончать,целовать,говорить,	82	0.2670204700530705	0.4685714285714286	0.09937535491198182	12.229166666666666
Каменный гость	1830	1839	40	261	6756	33	кидаться,стучать,вбегать,вставать,падать,останавливать,кивать,идти,входить,петь,выходить,биться,делать,осматривать,уходить,проваливаться,целовать,слушать,	18	0.038632326820603906	0.5454545454545454	0.12643678160919541	6.525
Юбилей	1891	1892	144	1173	6361	117	играть,взвизгивать,вскакивать,вставать,обмахиваться,пожимать,смеяться,доставать,вспылить,целоваться,уходить,протягивать,хохотать,махать,отмахиваться,читать,целовать,посмотреть,падать,идти,вздыхать,оглядываться,запыхаться,смотреть,тронуть,садиться,вести,возвращаться,стучать,взглядывать,вздрагивать,подавать,прятать,благодарить,обращаться,петь,стоять,бежать,подходить,дышать,волноваться,топотать,плакать,продолжать,щелкать,обижаться,писать,кричать,входить,гнаться,служить,кашлять,засучивать,стонать,	54	0.18440496777236284	0.46153846153846156	0.09974424552429667	8.145833333333334
Пустодомы	not specified in tei	1820	305	2728	25359	180	сказать,оставлять,доставать,проматывать,отходить,любоваться,толкать,читать,падать,отталкивать,смотреть,примеривать,класть,сламывать,садиться,обнимать,подвигаться,просить,мудрить,устаревать,становиться,одолевать,родиться,давать,вскакивать,обниматься,выманивать,закружиться,подписывать,уходить,прийти,божиться,задумываться,быть,идти,знать,вбегать,встрестись,врываться,сердиться,пугаться,бежать,останавливаться,услуживать,уговаривать,поглядеть,шептать,балансировать,писать,выносить,входить,расстраиваться,делать,повадиться,переменять,вставать,хотеть,терять,одеваться,проживать,взять,топать,подавать,убивать,наживать,плакать,ждать,уметь,прощаться,кончать,целовать,сажать,мочь,винить,полагать,брать,отворять,транжирить,расслабнуть,увидеть,поставлять,упадать,лежать,дурачьтести,возвращаться,махнуть,взглядывать,подходить,выходить,сидеть,дослушивать,подвигать,сделать,схватить,надевать,говорить,	96	0.10757521984305375	0.5333333333333333	0.06598240469208211	8.944262295081968
Подщипа или Трумф	1800	1859	99	642	9184	60	давать,вставать,опускаться,брать,уходить,происходить,схватывать,толкать,упадать,прыгать,храпеть,смотреть,вбегать,привставать,садиться,кланяться,зевать,отдавать,обнимать,ощупывать,подавать,вкладывать,красться,отскакивать,видеть,петь,подходить,дремать,тащить,плакать,вынимать,начинать,щупать,вырывать,опамятоваться,	35	0.06990418118466898	0.5833333333333334	0.09345794392523364	6.484848484848484
Свадьба Кречинского	1854	1856	709	6781	32575	662	помолчать,накидывать,замечать,приподниматься,искать,оставлять,обращать,рыться,нести,обомлевать,колотить,подбираться,ворочаться,подбегать,отходить,повертывать,толкать,читать,запечатывать,падать,хлопотать,отталкивать,тыкать,горячиться,смотреть,класть,пробегать,садиться,рассматривать,дрожать,заливаться,вырываться,вздрагивать,грозить,повертываться,освещать,отступать,осматривать,шептаться,стоять,улыбаться,ходить,оживать,расставить,повеселеть,подумать,замирать,продолжаться,становиться,соваться,попячиваться,начинать,пробираться,бегать,ставить,стихать,ухватывать,встряхиваться,усмехаться,зажмуриваться,кричать,припрыгивать,перегибаться,скидать,держать,торопиться,обмахивать,опомниться,наставлять,показываться,вскакивать,наступать,опускаться,качать,оправляться,уходить,кивать,задумываться,покачать,переходить,пятиться,марать,кидаться,складывать,подступать,думать,идти,подыматься,вбегать,вытягивать,походить,пыхтеть,прихлебывать,посматривать,собираться,выпивать,врываться,сердиться,завертывать,фыркнуть,резать,бежать,бороться,очутиться,останавливаться,снимать,дышать,пить,подкрадываться,тащить,вынимать,любезничать,накладывать,щупать,забываться,поглядеть,расстраивать,писать,являться,выносить,входить,вспыхивать,делать,удерживать,поцеловать,прижиматься,прикладывать,подымать,вставать,бить,хотеть,остановиться,смеяться,шаркать,считать,отряхивать,протягивать,отделяться,махать,терять,устраивать,одеваться,посмотреть,оборачиваться,шевелить,схватываться,оглядываться,вздыхать,лезть,ласкать,расставлять,душить,потеряться,исчезать,сочинять,одевать,кланяться,проползать,подпрыгивать,отдавать,звонить,топать,подавать,подмаргивать,кидать,вслушиваться,смутиться,рвать,приступать,продолжать,плакать,умолкать,притихать,сконфузиться,затворять,следить,обводить,оторопеть,осматриваться,отламывать,кончать,целовать,изменяться,спохватиться,рассердиться,порываться,окружать,взвизгивать,тереть,потискивать,раскланиваться,спрятаться,брать,бросаться,поправлять,ерошить,отворять,перебивать,хохотать,присмиреть,увидеть,схватывать,подставлять,стараться,удерживаться,прятаться,вертеть,надписывать,вешать,попадаться,подниматься,запыхаться,ломить,оробеть,метаться,махнуть,молчать,потуплять,взглядывать,рыдать,конфузиться,выходить,подходить,пародировать,нагибаться,передавать,свертываться,манить,всхлипывать,ласкаться,вкопать,пощелкивать,ударять,водить,надевать,напевать,вздергивать,плюнуть,вскрикивать,жать,говорить,	241	0.20816577129700692	0.3640483383685801	0.0976257189205132	9.564174894217206
Тамира и Селим	not specified in tei	1750	53	340	20287	20	вынимать,схватывать,сражаться,хотеть,разнимать,вырывать,ослабевать,селить,нарсить,закалываться,становиться,	11	0.016759501158377287	0.55	0.058823529411764705	6.415094339622642
Чайка	1895	1896	474	4328	24376	447	играть,помолчать,сказать,оставаться,искать,обращать,доставать,вспылить,целоваться,выть,отходить,читать,бывать,гореть,шуметь,треплеть,нюхать,чокаться,хлопотать,окликать,смотреть,класть,пробегать,садиться,прислушиваться,мешать,дрожать,опираться,обнимать,вздрагивать,видеть,стоять,улыбаться,озябнуть,будить,подумать,волноваться,становиться,потягиваться,ставить,проходиться,услышать,кричать,сдерживать,завтракать,распахивать,давать,показываться,открываться,пожимать,опускаться,убегать,качать,уходить,окидывать,кивать,храпеть,зайти,идти,кивнуть,собираться,стучать,глядеть,поддерживать,перелистывать,дразнить,бежать,усаживать,останавливаться,снимать,пить,накладывать,поглядеть,написать,топнуть,закуривать,писать,наливать,входить,делать,поцеловать,хватать,срывать,вставать,хотеть,держаться,смеяться,протягивать,махать,сдавать,встречаться,одеваться,посмотреть,выглядывать,склоняться,тушить,оглядываться,вздыхать,ласкать,вести,взять,кланяться,катить,прятать,подавать,рвать,сверкать,петь,обрывать,убивать,записывать,продолжать,плакать,швырять,сконфузиться,опечаливать,осматриваться,раздумывать,отражаться,целовать,тереть,раскланиваться,паузить,направляться,напиваться,брать,слышаться,поправлять,оглянуться,растрогать,прохаживаться,хохотать,облокачиваться,отворять,пошатываться,увидеть,стараться,получать,сколачивать,расчесывать,подниматься,возвращаться,молчать,рыдать,помогать,выходить,подходить,сидеть,отрывать,зачеркивать,подбочениться,предполагаться,надевать,напевать,жать,говорить,	156	0.17755169018706926	0.348993288590604	0.10328096118299446	9.130801687763713
На дне	1902	1903	525	6345	28195	596	ворчать,помолчать,накидывать,играть,приподниматься,сказать,расти,искать,фыркать,молиться,отворяться,распарывать,сконфузить,помещаться,выть,отходить,читать,толкать,гладить,повертывать,падать,посмеиваться,отталкивать,смотреть,примеривать,кроить,класть,трогать,садиться,заливать,передразнивать,прислушиваться,дрожать,спорить,сгибаться,обнимать,подвигаться,вздрагивать,грозить,освещать,отступать,красться,осматривать,стоять,видеть,улыбаться,становиться,начинать,стихать,расталкивать,усмехаться,кричать,отодвигаться,висеть,пытаться,распахивать,подражать,приплясывать,стонать,сломать,давать,вскакивать,засорять,стаивать,убегать,качать,заглядывать,жевать,уходить,кивать,задумываться,увидать,звучать,пятиться,наклоняться,пробовать,стягивать,быть,звякать,идти,озлоблять,успокаиваться,просыпаться,наблюдать,свистнуть,хлопать,собираться,выпивать,стучать,работать,шататься,удаляться,торжествовать,глядеть,поддерживать,теряться,отвечать,пугаться,бежать,останавливаться,заходить,разбивать,усаживать,вытягиваться,пить,трепать,прерывать,помахивать,скрипеть,шептать,являться,подхватывать,наливать,выносить,входить,отнимать,дребезжать,делать,хватать,прижиматься,раздаваться,влезать,взмахивать,стряхивать,вставать,бить,вспрыгивать,держаться,обходить,хотеть,закинуть,смеяться,прижимать,протягивать,встречать,махать,встречаться,хозяйничать,свистеть,выскочить,наклонять,сомневаться,прыгать,выглядывать,оборачиваться,рычать,вздыхать,оглядываться,слезать,следовать,исчезать,вести,отдавать,топать,переставать,желать,выбегать,толпиться,вслушиваться,приготовляться,петь,укладываться,продолжать,суетиться,плакать,отвертываться,прикреплять,визжать,чинить,затворять,следить,задыхаться,гнаться,осматриваться,склонять,бормотать,запевать,грызть,доноситься,взвизгивать,облокотиться,съеживаться,ложиться,направляться,придерживаться,возиться,очерчивать,рождаться,брать,бросаться,растрепывать,отворять,закапчивать,хохотать,выхватывать,прятаться,стараться,высовываться,размахивать,лежать,гаснуть,оборвать,подниматься,обрубать,зарастать,возвращаться,зевать,метаться,сталкиваться,зажимать,появляться,молчать,раздеваться,плевать,помогать,конфузиться,подходить,выходить,постоять,сидеть,размахиваться,слушать,скрываться,приближаться,жить,обвалиться,высовывать,встряхивать,ударять,надевать,напевать,кашлять,говорить,исковеркивать,	234	0.22503990069161198	0.3926174496644295	0.09393223010244287	12.085714285714285
Медведь	1888	1888	102	788	6722	89	вскакивать,сюсюкать,вставать,ломаться,наступать,пожимать,смеяться,брать,целоваться,уходить,расшаркиваться,отходить,задумываться,увидеть,стараться,трещать,падать,хвататься,вздыхать,идти,класть,садиться,хлопать,возвращаться,зевать,звонить,топать,вздрагивать,глядеть,подавать,дразнить,рвать,осматривать,подходить,останавливаться,отрывать,плакать,становиться,слушать,злиться,кричать,входить,вспыхивать,задыхаться,хватать,вскрикивать,говорить,	47	0.11722701576911633	0.5280898876404494	0.11294416243654823	7.7254901960784315
Семира	1751	1768	77	610	19716	30	подымать,хотеть,бросаться,подписывать,отходить,выхватывать,падать,иметь,идти,садиться,вести,всходить,отдавать,восставать,метать,становясти,становиться,входить,умирать,сноситься,броситься,удерживать,закалываться,	23	0.030939338608236965	0.7666666666666667	0.04918032786885246	7.922077922077922
Нахлебник	1848	1857	562	6641	24882	654	играть,накидывать,замечать,помолчать,сказать,оставаться,дергать,робеть,нести,щурить,приезжать,продевать,отходить,ронять,толкать,гладить,падать,нюхать,хлопотать,отталкивать,смотреть,садиться,заливаться,прислушиваться,рассматривать,обнимать,вырываться,отворачивать,вздрагивать,отступать,останавливать,красться,усиливаться,видеть,стоять,уверять,улыбаться,ходить,находиться,успевать,подумать,рассыпаться,пошептаться,становиться,взволновать,начинать,пробираться,ставить,выталкивать,кричать,держать,сиять,показываться,вскакивать,участвовать,пожимать,опускаться,убегать,качать,перерываться,оправляться,уходить,кивать,представлять,отказываться,пятиться,подступать,складывать,быть,хвататься,миновать,идти,сгибать,знать,слабеть,вбегать,погасать,посматривать,выпивать,шататься,глядеть,теряться,отскакивать,благодарить,бежать,растворяться,останавливаться,дышать,снимать,пить,вытягиваться,трепать,бледнеть,шептать,вырывать,здравствовать,подхватывать,наливать,входить,выпрямляться,отнимать,делать,прижиматься,поглядывать,раздаваться,ехать,переменять,вставать,разгорячаться,хотеть,смеяться,заплакать,сходить,одушевляться,браться,прижимать,протягивать,вертеться,махать,воспользоваться,краснеть,наклонять,покачиваться,перемигиваться,выглядывать,посмотреть,отворачиваться,восклицать,оборачиваться,оглядываться,расставлять,слезать,забиваться,исчезать,вести,кланяться,разгорячать,отдавать,дожидаться,пьянеть,глянуть,возрастать,звонить,подавать,подталкивать,переставать,желать,выбегать,обращаться,петь,выказываться,продолжать,закладывать,умолкать,напевать,выскакивать,навертываться,плакать,подъезжать,ухмыляться,приходить,стоить,воцаряться,погружаться,задыхаться,целовать,бормотать,рисоваться,мочь,выдвигать,давиться,жаться,обрадоваться,мигать,запутываться,передергивать,растрогать,прохаживаться,перебивать,хохотать,прислуживаться,подмигивать,схватывать,прятаться,стараться,высовываться,вертеть,прикасаться,развертывать,выговаривать,звенеть,подниматься,смешить,спотыкаться,напирать,возвращаться,сталкиваться,узнавать,молчать,взглядывать,покусывать,надвигаться,потуплять,откашливаться,ощупывать,рыдать,появляться,конфузиться,подходить,выходить,сидеть,заикаться,содрогаться,приближаться,передавать,изумлять,прерываться,надевать,верить,закидывать,кашлять,жать,говорить,	223	0.2668997668997669	0.3409785932721712	0.09847914470712242	11.816725978647687
Димитрий Самозванец	1770	1771	57	479	13776	20	вынимать,подымать,вручать,спать,приближаясти,приходить,вырывать,восставать,вступать,отступать,опускаться,метать,подыматься,закалывать,ударять,сидеть,издыхать,хватать,говорить,	19	0.03477061556329849	0.95	0.04175365344467641	8.403508771929825
Дети Ванюшина	1901	not specified in tei	471	9661	23291	919	накинуть,играть,сказать,проноситься,замечать,оставаться,искать,повторять,дергать,оставлять,раздваивать,молиться,отворяться,доставать,курить,обращать,сконфузить,позволять,помещаться,озираться,целоваться,делаться,нести,происходить,багроветь,отходить,подбегать,растериваться,читать,гладить,приготовлять,падать,попадать,ободрять,освещаться,отталкивать,кипеть,белиться,смотреть,смолкать,класть,пробегать,садиться,относиться,передразнивать,прислушиваться,мешать,дрожать,решаться,опираться,исключать,рассматривать,растягивать,обнимать,вырываться,спрятать,рекомендовать,освещать,подслушивать,видеть,стоять,определять,осматривать,ходить,находиться,увлекаться,успевать,подумать,волноваться,улыбаться,захватить,взволновать,становиться,чувствовать,начинать,ставить,заменять,звать,проезжать,синеть,принадлежать,скидывать,кричать,держать,слышать,висеть,торопиться,сдерживать,владеть,вдохновляться,сбрасывать,давать,показываться,вскакивать,ожидать,ошеломлять,причесывать,увивать,опускаться,убегать,качать,встревожить,прийти,уходить,куриться,пересиливать,превращаться,вываливаться,увидать,задумываться,учиться,кидаться,удивлять,быть,думать,поступать,хвататься,завивать,идти,подыматься,озлоблять,пересчитывать,отбегать,вбегать,состарить,шутить,взяться,хлопать,покачивать,приставать,стучать,выпивать,шататься,вспомнить,сердиться,шепелявить,поддерживать,дразнить,перелистывать,вспоминать,глядеть,бежать,останавливаться,усаживать,дышать,нахмуриваться,пить,тащить,пропадать,разваливаться,снимать,наполняться,трепать,вынимать,уверяться,щупать,написать,шептать,расстраивать,писать,закуривать,подчеркивать,наливать,входить,вспыхивать,действовать,делать,удерживать,поцеловать,прижиматься,раздаваться,лопать,мочить,допивать,выступать,вставать,бить,проходить,хотеть,держаться,смеяться,сходить,считать,прижимать,протягивать,отделяться,заваривать,встречаться,терять,заставлять,нажимать,блестеть,одеваться,посмотреть,выглядывать,склоняться,сообщать,оборачиваться,тушить,схватываться,жеманиться,присутствовать,ласкать,расставлять,поздравлять,спускаться,следовать,наделять,одевать,вести,взять,кланяться,есть,отдавать,топать,прятать,кидать,переставать,окаймлять,пробуждаться,желать,выбегать,подавать,упасть,обращаться,петь,раздуваться,уяснять,продолжать,плакать,обжигаться,навертываться,выскакивать,овладевать,отвертываться,сжиматься,приходить,ждать,скакать,следить,уметь,стоить,затрагивать,погружаться,осматриваться,недоумевать,доходить,целовать,окружать,побледнеть,бояться,сажать,доноситься,здороваться,тереть,мочь,называть,обрадоваться,полагать,брать,растрепывать,подсматривать,отворять,приотворять,хохотать,схватывать,увидеть,подставлять,стараться,прятаться,остолбенеть,бродить,раздражаться,всплескивать,искалечивать,тронуть,подергивать,спотыкаться,привставать,удаваться,возвращаться,обрадовать,сталкиваться,задумывать,дотрагиваться,появляться,взглядывать,молчать,раздеваться,унаследовать,рыдать,помогать,расстегивать,выходить,подавлять,подходить,догонять,отстранять,сидеть,вызывать,слушать,отрываться,скрываться,сделать,раздражать,ударять,надевать,вскрикивать,говорить,	309	0.4147954145378043	0.33623503808487487	0.095124728288997	20.51167728237792
Вишневый сад	1903	1904	575	6220	20703	576	высыпать,играть,оставаться,запивать,искать,отворяться,доставать,сконфузить,вспылить,целоваться,приезжать,испугаться,отходить,ронять,ездить,читать,дуть,бывать,гореть,падать,наигрывать,хлопотать,смотреть,трогать,класть,садиться,прислушиваться,опрокидывать,толкнуть,опираться,дрожать,обнимать,вздрагивать,грозить,аплодировать,усиливаться,осматривать,стоять,улыбаться,ходить,замирать,замахиваться,волноваться,топотать,становиться,спешить,потягиваться,ставить,звать,стихать,кашлять,называться,сосать,кричать,услышать,держать,утешать,показываться,вскакивать,обрываться,наступать,пожимать,опускаться,усаживаться,убегать,качать,лопнуть,заглядывать,уходить,окидывать,кивать,задумываться,переходить,звучать,слагать,стягивать,струшивать,быть,храпеть,идти,обнаруживать,вбегать,просыпаться,глядеться,хлопать,чистить,торжествовать,стучать,перелистывать,глядеть,отвечать,дразнить,мечтать,бежать,жаловаться,дышать,останавливаться,снимать,рассыпать,пить,вынимать,пудриться,поглядеть,подпевать,скрипеть,шептать,закуривать,наливать,входить,отнимать,чувствоваться,делать,поцеловать,хватать,раздаваться,уронить,бить,хотеть,удивляться,настраиваться,смеяться,заплакать,натыкаться,встречать,семенить,махать,проносить,понравиться,декламировать,прыгать,тушить,вздыхать,мычать,оглядываться,пройти,меняться,забросить,исчезать,вести,восходить,одевать,кланяться,есть,отдавать,танцевать,подавать,рвать,упасть,петь,потаскать,утомлять,покривиться,плакать,раздавливать,сжиматься,подъезжать,вернуться,приходить,возмущаться,варить,расслышать,затворять,ждать,стоить,прощаться,возвышаться,оторопеть,кашлянуть,бормотать,целовать,рассердиться,бояться,доноситься,смущать,мочь,ложиться,попудриться,полагать,брать,слышаться,поправлять,оглянуться,бросаться,сходиться,отворять,хохотать,пошатываться,увидеть,схватывать,стараться,удерживаться,поставлять,лежать,всплескивать,начинаться,звенеть,запыхаться,возвращаться,отъезжать,зевать,взглядывать,ощупывать,рыдать,цвести,выходить,подходить,сидеть,обозначаться,упоминаться,слушать,ласкаться,встряхивать,темнеть,надевать,напевать,вскрикивать,жать,говорить,	218	0.300439549823697	0.3784722222222222	0.09260450160771704	10.817391304347826
Бесприданница	1878	1879	403	3881	32331	285	обращать,доставать,целоваться,приезжать,происходить,отходить,ронять,читать,повертывать,падать,отталкивать,смотреть,класть,садиться,рассматривать,закрываться,прислушиваться,вздрагивать,грозить,стоять,подумать,ставить,давать,показываться,обниматься,пожимать,опускаться,убегать,качать,уходить,жевать,кивать,переходить,задумываться,прибивать,оскорблять,хвататься,идти,слабеть,отбегать,приставать,отвечать,завертывать,глядеть,стрелять,снимать,пить,вынимать,поглядеть,наливать,входить,хватать,вставать,хотеть,закинуть,смеяться,одеваться,вести,кланяться,отдавать,подавать,выбегать,петь,продолжать,погружаться,целовать,запевать,раскланиваться,спрятаться,брать,бросаться,схватывать,стараться,лежать,надуваться,оробеть,обметать,молчать,взглядывать,конфузиться,выходить,подходить,сидеть,подвигать,разгорячиться,подстраивать,нагибаться,ударять,меблировать,надевать,напевать,жать,говорить,	93	0.12003959048591135	0.3263157894736842	0.0734346817830456	9.630272952853598
Демофонт	1751	1752	54	371	20223	16	увидеть,схватывать,целовать,хотеть,вкладывать,хвататься,отступать,оборотиться,держать,удерживать,хватать,закалываться,вынять,становиться,	14	0.018345448251990307	0.875	0.0431266846361186	6.87037037037037
Бедность не порок	1853	1854	371	3880	21448	407	играть,помолчать,прилегать,доставать,целоваться,отходить,переминаться,читать,гладить,сыпать,составлять,смотреть,класть,садиться,утираться,рассматривать,прислушиваться,управлять,мешать,говорить,подвигаться,обнимать,освещать,стоять,ходить,становиться,начинать,ставить,ухватывать,сдерживать,приплясывать,давать,вскакивать,обниматься,наступать,убегать,заглядывать,уходить,кивать,задумываться,покачать,удивлять,складывать,идти,собираться,стучать,останавливаться,снимать,пить,трепать,вынимать,ошибаться,шептать,писать,топнуть,наливать,входить,прижиматься,поглядывать,хватать,вставать,бить,разгорячаться,хотеть,ломаться,смеяться,протягивать,декламировать,заставлять,отворачиваться,прыгать,подыгрывать,вздыхать,одевать,кланяться,отдавать,прятать,подавать,переставать,обедать,обращаться,петь,продолжать,плакать,подтягивать,откупоривать,затворять,запевать,целовать,окружать,раскланиваться,ложиться,коситься,брать,полагать,хохотать,схватывать,стараться,поставлять,повесить,возвращаться,любить,махнуть,зажимать,молчать,взглядывать,заниматься,припевать,плясать,подходить,выходить,сидеть,дремать,пригорюниваться,слушать,вкопать,ударять,водить,надевать,наигрывать,засучивать,	121	0.18090264826557254	0.2972972972972973	0.10489690721649485	10.45822102425876
Отрывок	1842	1842	34	238	7033	23	вынимать,увидеть,читать,прищуривать,стараться,раскланиваться,усмехаться,развертывать,всплескивать,подходить,бросаться,смотреть,вытаращивать,уходить,продолжать,вскрикивать,говорить,	17	0.03384046637281388	0.7391304347826086	0.09663865546218488	7.0
Баня	1929	1929	119	1838	20064	162	замечать,копировать,повторять,диктовать,отшатываться,доставать,подбегать,ронять,толкать,дуть,гореть,захлопывать,освещаться,запаивать,смотреть,класть,пробегать,приливать,прислушиваться,обнимать,вливаться,ходить,мерять,начинать,пересматривать,скидывать,кричать,вталкивать,пытаться,распахивать,выключать,показываться,вскакивать,наступать,пожимать,накручивать,крутить,уходить,переходить,валиться,наклоняться,грузить,свисать,тухнуть,идти,вбегать,объяснять,хлопать,стучать,врываться,распахиваться,перелистывать,поддерживать,жестикулировать,оттягивать,трясти,останавливаться,снимать,разваливаться,входить,хранить,проборматывать,придерживать,похлопывать,прижимать,семенить,отделяться,махать,свистеть,лезть,сгребать,выбегать,рвануться,секретарствовать,продолжать,придавливать,обжигаться,напевать,выскакивать,подтягивать,приходить,подкручивать,прощаться,втыкаться,светиться,дозваниваться,отбивать,охлаждаться,возиться,разматывать,бросаться,выхватывать,загораться,отмахиваться,поставлять,трусить,прятаться,размахивать,преследовать,выговаривать,приоткрываться,начинаться,всматриваться,появляться,сверять,отстранять,выходить,догонять,сидеть,отрывать,слушать,скрываться,передавать,отстраняться,останавливать,говорить,	116	0.09160685805422647	0.7160493827160493	0.088139281828074	15.445378151260504
Завтрак у предводителя	1849	1856	106	621	14049	53	помолчать,приподниматься,вставать,смеяться,уходить,происходить,представлять,читать,быть,хлопотать,развертывать,креститься,садиться,кланяться,глянуть,молчать,обращаться,подходить,выходить,пить,продолжать,кашлять,услышать,входить,кричать,целовать,	26	0.044202434336963484	0.49056603773584906	0.0853462157809984	5.8584905660377355
Сговор Кутейкина	not specified in tei	1799	63	533	7682	43	хотеть,целоваться,уходить,испугаться,представлять,схватывать,увидеть,образумиться,толкать,наткнуться,смаковать,разнимать,храпеть,отворить,просыпаться,вскотать,садиться,оробеть,зевать,кланяться,охмелеть,взять,взглядывать,подавать,пугаться,уставлять,петь,подходить,размахиваться,пить,заснуть,наливать,кричать,входить,броситься,сажать,	36	0.06938297318406665	0.8372093023255814	0.08067542213883677	8.46031746031746
Актеон	1913	1913	55	510	2309	51	замечать,болтать,ложиться,ломаться,поддаваться,отшатываться,качать,озираться,разбегаться,уходить,протягивать,наклоняться,стирать,падать,лежать,хмуриться,подниматься,смотреть,исчезать,садиться,охотиться,метаться,откидываться,работать,обнимать,появляться,раздеваться,перекликаться,скандировать,помогать,петь,подходить,ворочать,начинать,отдыхать,звать,выносить,кричать,входить,выпрямляться,набегать,говорить,	42	0.2208748375920312	0.8235294117647058	0.1	9.272727272727273
Три сестры	1900	1901	653	5892	28008	562	играть,сказать,оставаться,доставать,нести,сконфузить,целоваться,испугаться,отходить,ронять,читать,повертывать,гладить,сдерживаться,наигрывать,смотреть,трогать,класть,садиться,тянуть,рассматривать,прислушиваться,мешать,обнимать,вздрагивать,аплодировать,стоять,улыбаться,ходить,подумать,волноваться,взволновать,спешить,начинать,ставить,потягиваться,проезжать,кричать,слышать,сдерживать,завтракать,показываться,причесывать,пожимать,убегать,охватывать,заглядывать,уходить,спохватываться,окидывать,задумываться,картавить,быть,думать,идти,знать,лить,глядеться,хлопать,собираться,шататься,стучать,глядеть,дразнить,останавливаться,усаживать,снимать,пить,вынимать,шептать,входить,прижиматься,вставать,бить,брызгать,смеяться,сходить,браться,позвать,встречать,махать,декламировать,встречаться,мыть,выглядывать,тушить,оглядываться,вздыхать,ласкать,разбиваться,вести,одевать,кланяться,звонить,танцевать,подавать,кидать,переставать,выбегать,петь,записывать,суетиться,плакать,укачивать,отдыхать,подъезжать,посвистывать,приходить,спать,поправляться,ждать,затворять,стоить,прощаться,оторопеть,очнуться,целовать,рассердиться,тосковать,здороваться,тереть,смущать,ложиться,прыскаться,помешать,прогуливаться,брать,поправлять,растрогать,хохотать,отворять,увидеть,лежать,всплескивать,начинаться,расчесывать,всматриваться,зевать,взглядывать,поздороваться,рыдать,покидать,беседовать,вспотеть,плясать,подходить,сидеть,слушать,огорчать,раскладывать,нагибаться,надевать,напевать,вскрикивать,говорить,	155	0.21036846615252786	0.27580071174377224	0.09538357094365241	9.022970903522205
Горе от ума	1824	1825	209	1934	26601	140	помолчать,расходиться,искать,отходить,ронять,брезжиться,падать,покашливать,хлопотать,отталкивать,смотреть,садиться,свешиваться,обнимать,спрятать,освещать,красться,видеть,потягиваться,выталкивать,кричать,держать,слышать,обниматься,кочевать,оправляться,уходить,пятиться,кружиться,быть,затыкать,идти,вбегать,просыпаться,глядеть,оборачивать,бежать,останавливаться,пропадать,являться,заигрывать,входить,делать,вставать,хотеть,шаркать,терять,укутывать,оборачиваться,тушить,оглядываться,душить,спускаться,отправляться,уезжать,вести,разбредаться,подавать,обращаться,продолжать,суетиться,умолкать,спать,вернуться,примыкать,осматриваться,целовать,жаться,стучаться,бросаться,хохотать,раскрываться,увидеть,виться,прятаться,гаснуть,фортопиять,зевать,сталкиваться,зажимать,выходить,подходить,сидеть,ползать,скрываться,направлять,останавливать,жать,говорить,	89	0.07270403368294424	0.6357142857142857	0.07238883143743537	9.253588516746412
