play name	written	print	number of stages	len_stages_words	len_speeches_words	total_number_of_verbs	verbs set	number of unique verbs	stages_to_speeches_ratio	verb_diversity(uniqueverbs/totalverbs)	verbs_share_in_stages	av_stage_length
Борис Годунов	1825	1831	172	1320	20394	137	ехать,играть,давать,выступать,расходиться,вставать,бить,ложиться,отворяться,смеяться,сходить,трубить,убегать,бросаться,уходить,затягивать,переходить,задумываться,отходить,встречаться,читать,поникать,строиться,пустеть,быть,лежать,нестись,идти,чертить,начинаться,смотреть,свистать,издыхать,всматриваться,расседлывать,садиться,класть,вести,кланяться,удаляться,безмолвствовать,молчать,пробуждаться,глядеть,подавать,освещать,рыдать,расступаться,стоять,бежать,осматривать,петь,выходить,шептаться,пить,подходить,продолжать,плакать,вынимать,щелкать,обвесить,спать,приближаться,окружать,вырывать,писать,разуздывать,являться,скакать,выносить,входить,останавливать,хватать,целовать,	74	0.06472491909385113	0.5401459854014599	0.10378787878787879	7.674418604651163
Блонды	1853	1854	87	1089	2616	91	подымать,замечать,переменять,вставать,хотеть,убегать,бросаться,целоваться,передергивать,ронять,читать,подкатываться,прятаться,складывать,быть,падать,выглядывать,лежать,оборачиваться,отталкивать,сажать,поцеловать,смотреть,класть,вбегать,всматриваться,садиться,одевать,рассматривать,мешать,выпивать,молчать,взбивать,подавать,грозить,распахиваться,прикалывать,останавливать,вслушиваться,обращаться,потупляться,стоять,выходить,останавливаться,подходить,снимать,подкрадываться,разрывать,улыбаться,продолжать,суетиться,смотреться,взволновать,прерывать,вынимать,начинать,обижаться,написать,обводить,входить,держать,прыскать,удерживать,сдерживать,прикладывать,очнуться,целовать,жать,раздаваться,	69	0.41628440366972475	0.7582417582417582	0.08356290174471992	12.517241379310345
Не любо – не слушай, а лгать не мешай	not specified in tei	1818	84	498	13752	38	давать,хотеть,смеяться,солгать,бросаться,встречать,уходить,отходить,встречаться,увидеть,читать,упадать,знать,вбегать,садиться,любить,взять,подавать,глядеть,гадать,разглядывать,видеть,бежать,подвигать,вынимать,входить,поцеловать,	27	0.036212914485165795	0.7105263157894737	0.07630522088353414	5.928571428571429
Король на площади	1906	1907	133	3541	7279	297	играть,проноситься,оставаться,расходиться,расти,искать,оставлять,обращать,раскатываться,носиться,проникать,рассеиваться,струиться,гореть,падать,вопить,отталкивать,смотреть,смолкать,креститься,мелькать,садиться,заливаться,дрожать,опираться,прислоняться,подвигаться,обнимать,вздрагивать,нарушаться,отступать,усиливаться,стоять,зажигаться,рассыпаться,находиться,замирать,сгущаться,продолжаться,становиться,начинать,пробираться,баюкать,смешиваться,сбегать,возобновляться,господствовать,клубиться,кричать,держать,слышать,сдерживать,распахивать,внимать,давать,светать,вступать,опускаться,убегать,охватывать,качать,трубить,уходить,потряхивать,брести,завертываться,представлять,гудеть,пятиться,лететь,хвататься,прорываться,идти,захлебываться,рушиться,прибывать,просыпаться,присоединяться,собираться,удаляться,стучать,вечереть,заволакиваться,бороться,бежать,останавливаться,пропадать,гнать,прерывать,вынимать,отдалять,бледнеть,вмешиваться,подхватывать,вспыхивать,выпрямляться,раздаваться,срывать,выступать,разгораться,бить,прильнуть,сходить,разглядеть,расшатываться,встречаться,продавать,свистеть,блестеть,прыгать,нестись,вылезать,склоняться,потускнеть,качаться,затихать,вглядываться,спускаться,исчезать,восходить,вырастать,выныривать,покатываться,кланяться,всходить,возрастать,переставать,взвиваться,упасть,обращаться,петь,рвать,убивать,разрывать,плакать,шелестеть,выскакивать,укачивать,спать,хлынуть,гулять,ждать,следить,умирать,возвышаться,бормотать,сливаться,доноситься,светиться,распространять,подуть,подплывать,направляться,слышаться,стараться,высовываться,лежать,прикасаться,звенеть,начинаться,казаться,подниматься,избороздить,пресыщать,метаться,зажимать,появляться,молчать,взглядывать,рыскать,подходить,выходить,двинуться,сидеть,разъярять,приветствовать,приближаться,всхлипывать,огибать,ломать,прерываться,роптать,шмыгать,закидывать,говорить,	185	0.48646792141777717	0.622895622895623	0.08387461169161253	26.62406015037594
Дон-Жуан в Египте	1911	1911	42	286	2579	25	представлять,схватывать,настаивать,обнимать,глядеть,повертываться,хотеть,хвататься,коситься,входить,оглядываться,выходить,подходить,поправлять,отходить,рассматривать,уходить,продолжать,бормотать,становиться,	20	0.11089569600620396	0.8	0.08741258741258741	6.809523809523809
Черепослов, сиречь Френолог	1856	1860	161	3088	2974	264	устанавливаться,накинуть,помолчать,оставаться,стареть,твердить,фыркать,робеть,происходить,испугаться,подбегать,обертываться,падать,захлопывать,знакомиться,отталкивать,смотреть,пробегать,садиться,рассматривать,прислушиваться,опираться,вздрагивать,отступать,благословлять,приниматься,стоять,ходить,находиться,становиться,передвигаться,начинать,ставить,заслонять,кричать,держать,висеть,сбрасывать,вскакивать,опускаться,усаживаться,качать,уходить,кокетничать,задумываться,брить,представлять,исчерчивать,идти,пробиваться,приставать,перелистывать,отвечать,пугаться,останавливаться,перебегать,снимать,прерывать,придвигать,написать,вырывать,писать,подхватывать,рассердить,входить,делать,удерживать,прикладывать,прижиматься,раздаваться,подымать,грозиться,вставать,бить,повторяться,хотеть,нарушать,задремать,воспользоваться,приседать,наклонять,посмотреть,отворачиваться,вязать,оборачиваться,жеманиться,приподымать,ободряться,вздыхать,расставлять,кланяться,поскальзываться,подавать,выбегать,обращаться,петь,построить,продолжать,плакать,примачивать,следить,драть,фальшивить,целовать,съеживаться,оканчивать,переменяться,бросаться,перебивать,отмахиваться,стараться,удерживаться,преследовать,запыхаться,всматриваться,сморщиваться,сталкиваться,ощупывать,рыдать,заниматься,подходить,выходить,сидеть,дремать,слушать,приближаться,передавать,сделать,раздражать,всхлипывать,встряхивать,подсмеиваться,обривать,ударять,надевать,останавливать,отдыхиваться,говорить,	138	1.0383322125084062	0.5227272727272727	0.08549222797927461	19.180124223602483
Ревизор	1835	1836	433	4927	36531	442	помолчать,сказать,приподниматься,оставаться,забегать,оставлять,отворяться,робеть,бодриться,обращать,нести,целоваться,происходить,испугаться,раскуривать,подбегать,отходить,ронять,читать,толкать,посвистать,захлопывать,падать,нюхать,горячиться,смотреть,пробегать,садиться,поддерживаться,рассматривать,дрожать,прислушиваться,заливаться,относиться,прислоняться,свешиваться,грозить,подслушивать,стоять,ходить,находиться,подумать,спешить,начинать,усмехаться,выпрямливаться,кричать,проталкиваться,помирать,нажаловаться,устремляться,давать,показываться,чихать,обрываться,выхватываться,опускаться,строить,усаживаться,оправляться,превращаться,уходить,окидывать,кивать,задумываться,представлять,прищуривать,лететь,пробовать,быть,силиться,хвататься,сметь,подыматься,вбегать,посматривать,приставать,стучать,глядеть,растопыривать,дразнить,резать,бежать,издавать,трясти,защищать,останавливаться,снимать,вытягиваться,придвигаться,распечатывать,разевать,бледнеть,трястись,вынимать,придвигать,увеличиваться,написать,отдвигать,писать,закуривать,наливать,выпучивать,входить,делать,удерживать,придерживать,раздаваться,притискивать,подымать,излетать,переменять,вставать,бить,хотеть,остановиться,закинуть,выставляться,протягивать,вертеться,шарить,махать,зажмуривать,сохранять,окаменевать,выталкиваться,приседать,наклонять,выглядывать,оборачиваться,потеряться,схватываться,вздыхать,лезть,расставлять,следовать,кланяться,переворачивать,есть,отдавать,подпрыгивать,прятать,поскальзываться,подавать,толпиться,шлепаться,обращаться,выронить,продолжать,отдвигаться,приступать,упираться,свертывать,бормотать,целовать,сливаться,рисоваться,раскланиваться,ковырять,съеживаться,выставлять,храбриться,брать,бросаться,отворять,перебивать,увидеть,схватывать,прятаться,стараться,высовываться,вертеть,размахивать,лежать,надписывать,выговаривать,развертывать,звенеть,запыхаться,подниматься,всматриваться,осипнуть,возвращаться,подшаркивать,сталкиваться,махнуть,печатать,молчать,плевать,подходить,выходить,толкаться,заикаться,раздувать,щелкать,прихлопывать,сделать,высовывать,надевать,плюнуть,вскрикивать,выпираться,говорить,	203	0.13487175275793162	0.4592760180995475	0.08970976253298153	11.378752886836027
Гондла	1916	1917	62	592	10651	37	играть,показываться,опускаться,смеяться,убегать,протягивать,наклоняться,пробовать,прятаться,склоняться,втыкать,садиться,обнимать,освещать,закалываться,отступать,петь,выходить,сидеть,втаскивать,слушать,продолжаться,ставить,передавать,кричать,входить,надевать,очнуться,целовать,	29	0.055581635527180547	0.7837837837837838	0.0625	9.548387096774194
Леший	1889	1890	498	4103	30388	353	играть,рыться,нести,целоваться,отходить,ронять,любоваться,читать,падать,хлопотать,смотреть,кутать,класть,садиться,прислушиваться,обнимать,вздрагивать,подслушивать,осматривать,ходить,укладывать,волноваться,взволновать,спешить,кричать,подражать,стонать,давать,показываться,припадать,убегать,фиксировать,уходить,кивать,увидать,застегивать,велеть,идти,хлопать,окутывать,стучать,глядеть,благодарить,резать,жестикулировать,бежать,пить,накладывать,шептать,вырывать,наливать,входить,вспыхивать,скоблить,отнимать,вставать,хотеть,смеяться,протягивать,преклоняться,расшаркиваться,одеваться,отворачиваться,тушить,вздыхать,оглядываться,застреливаться,вести,кланяться,взять,есть,звонить,подавать,рвать,петь,суетиться,плакать,умолкать,подсвистывать,вернуться,очнуться,целовать,здороваться,точить,бросаться,растрогать,хохотать,перебивать,пошатываться,увидеть,прятаться,сервировать,всплескивать,подниматься,возвращаться,зевать,узнавать,помогать,выходить,подходить,дремать,сидеть,слушать,скрываться,щелкать,арендовать,ломать,надевать,напевать,вскрикивать,	110	0.13502040279057523	0.311614730878187	0.08603460882281258	8.238955823293173
Хорев	1747	1747	33	262	16331	5	метать,выходить,отходить,отъять,говорить,	5	0.016043108199130487	1.0	0.019083969465648856	7.9393939393939394
