play name;written;print;number of stages;len_stages_words;verbs set;number of unique verbs
Лакейская;1840;1840;34;474;оставаться,уходить,убегать,утыкать,идти,схватывать,махнуть,снимать,накидывать,входить,смеяться,тыкать,становиться,протягивать,бежать,спать,вырываться,чистить,сидеть,хватать,стоять,подымать,отворяться,увидеть,смотреть,представлять,звенеть,вскрикивать,насупливаться,пробуждаться,садиться,подыматься,выходить,отворять,;34
Отрывок;1842;1842;34;238;усмехаться,всплескивать,вынимать,вскрикивать,уходить,читать,подходить,развертывать,стараться,раскланиваться,вытаращивать,увидеть,говорить,продолжать,бросаться,прищуривать,смотреть,;17
Ревизор;1835;1835;433;4927;поддерживаться,прихлопывать,оставаться,вынимать,потеряться,читать,трястись,ронять,переворачивать,выговаривать,усаживаться,стараться,помолчать,следовать,сметь,вздыхать,сталкиваться,съеживаться,дрожать,строить,махнуть,махать,устремляться,усмехаться,придерживать,всматриваться,толпиться,перебивать,дразнить,выпрямливаться,разевать,издавать,делать,шлепаться,оборачиваться,выглядывать,ковырять,горячиться,приседать,обращаться,кивать,бормотать,подымать,раздувать,проталкиваться,бросаться,притискивать,осипнуть,пробовать,звенеть,приставать,раскуривать,останавливаться,робеть,приступать,вертеть,выхватываться,излетать,глядеть,выходить,плюнуть,отворять,сказать,вставать,поскальзываться,возвращаться,закинуть,упираться,обращать,развертывать,раскланиваться,растопыривать,трясти,заливаться,хотеть,подходить,плевать,давать,протягивать,задумываться,выпучивать,нюхать,силиться,запыхаться,захлопывать,выставлять,наливать,выпираться,отдвигать,целовать,защищать,свешиваться,щелкать,отворяться,целоваться,сделать,лезть,приподниматься,подыматься,увеличиваться,закуривать,писать,лежать,прислушиваться,уходить,удерживать,опускаться,зажмуривать,происходить,выставляться,кланяться,отдавать,написать,прислоняться,схватывать,остановиться,снимать,входить,относиться,нести,пробегать,бежать,придвигать,толкать,находиться,брать,расставлять,окаменевать,шарить,стоять,толкаться,выталкиваться,придвигаться,подбегать,подавать,говорить,продолжать,храбриться,прищуривать,обрываться,сливаться,прятаться,бодриться,печатать,садиться,молчать,вытягиваться,сохранять,кричать,свертывать,подслушивать,отходить,хвататься,оставлять,переменять,начинать,наклонять,стучать,отдвигаться,падать,надписывать,посвистать,выронить,чихать,превращаться,подпрыгивать,показываться,посматривать,грозить,помирать,прятать,подумать,раздаваться,спешить,подшаркивать,нажаловаться,заикаться,есть,рисоваться,окидывать,размахивать,надевать,вбегать,ходить,бледнеть,резать,лететь,увидеть,распечатывать,оправляться,смотреть,подниматься,представлять,высовываться,рассматривать,бить,вскрикивать,быть,вертеться,высовывать,забегать,испугаться,схватываться,;203
Театральный разъезд после представления новой          комедии;1842;1842;116;1237;припихивать,переговариваться,уходить,удерживать,переворачивать,ударять,идти,появляться,пропадать,заглядывать,растопыривать,сталкивать,весть,махнуть,входить,показываться,пожимать,подходить,рассуждать,давать,подхватывать,раздаваться,делать,бежать,толкать,вести,отставать,целовать,размахивать,надевать,пробираться,узнавать,обращаться,кивать,сходить,подбегать,подавать,говорить,продолжать,смотреть,посторониваться,редеть,подаваться,пустеть,отходить,увеличиваться,выходить,;47
Тяжба;1836;1836;21;143;входить,сидеть,икать,вскрикивать,размахивать,браться,читать,вытаращивать,продолжать,;9
Утро делового человека;1836;1836;27;342;нацеплять,входить,вбегать,звонить,уходить,читать,оживляться,пожимать,вертеть,ударять,развертывать,потягиваться,помолчать,увидеть,оборачиваться,кланяться,вздыхать,устремлять,выходить,выглядывать,накидывать,;21
Женитьба;1835;1835;254;2514;вынимать,притопывать,ронять,читать,считать,стараться,усаживаться,видеть,помолчать,заглядывать,слышать,усмехаться,разевать,делать,оборачиваться,отскакивать,обращаться,подымать,подбочениваться,ошеломлять,размеривать,звенеть,раскладывать,пугать,глядеть,сказать,отворять,вставать,собираться,убегать,раскланиваться,повертываться,запинаться,взъерошивать,мешать,хотеть,осматриваться,подходить,отвечать,давать,разодевать,всплескивать,целовать,пожаловать,вглядываться,целоваться,хохотать,скатывать,закрываться,страшиться,лежать,уходить,подкрадываться,рыдать,дослышать,кланяться,кряхтеть,схватывать,входить,благословлять,плакать,отворачиваться,становиться,бежать,толкать,хмурить,шарить,отъезжать,стоять,выталкиваться,валиться,подавать,говорить,продолжать,гладить,складывать,пятиться,садиться,поглядывать,браться,молчать,барабанить,кричать,переменять,начинать,подступать,соединять,потуплять,обсматривать,подумать,раздаваться,метаться,нарезывать,охать,улыбаться,вбегать,надевать,размахивать,ходить,увидеть,бегать,смотреть,рассматривать,оглядываться,одеваться,вскрикивать,быть,высовывать,щупать,взглядывать,испугаться,прибивать,класть,;113
Егор Булычов и другие;1931;1931;199;2501;оставаться,притопывать,топать,заглядывать,вздыхать,махнуть,зажимать,махать,усмехаться,слышать,придерживать,повертеть,взять,дуть,бормотать,притоптывать,переставать,откидываться,шептаться,останавливаться,зевнуть,нахмуриться,глядеть,выходить,вставать,возвращаться,убегать,пить,встречать,пропотевать,петь,хотеть,осматриваться,подходить,поддерживать,гореть,шепнуть,качать,щелкнуть,целовать,замахиваться,шевелиться,ошалевать,спорить,шептать,чертить,возиться,обнимать,торопиться,затворять,вскакивать,встрепывать,закуривать,рычать,упасть,писать,удивлять,уходить,подкрадываться,танцевать,идти,тащить,напевать,слушать,замечать,входить,подражать,плакать,врываться,бежать,вытаскивать,пропотеть,брать,сидеть,спускаться,исчезать,вырывать,стоять,сходить,зацепляться,подбегать,подавать,говорить,гладить,мыть,сдвигать,взвизгивать,спрятаться,пятиться,садиться,хмуриться,отмахиваться,молчать,кричать,прижимать,шаркать,отходить,оставлять,изумлять,покачнуться,выругаться,стучать,гудеть,падать,кашлять,припадать,позевнуть,плясать,наклонить,ложиться,смеяться,держаться,кривить,ворчать,поклониться,подумать,улыбаться,вести,вбегать,обходить,прибегать,откашливаться,смотреть,отрываться,оглядываться,придерживаться,перехватывать,бить,рассматривать,быть,трубить,щупать,посмеиваться,кружиться,укладывать,;135
На дне;1902;1902;521;6422;читать,желать,стряхивать,гнаться,зевать,хозяйничать,видеть,помолчать,топать,следовать,заглядывать,вздыхать,сталкиваться,стараться,съеживаться,дрожать,стихать,зажимать,махать,усмехаться,скрипеть,толпиться,прижиматься,жевать,просыпаться,делать,обрубать,вздрагивать,оборачиваться,зарастать,прикреплять,обвалиться,выглядывать,взмахивать,теряться,отнимать,хватать,кивать,бормотать,трепать,отталкивать,пугаться,искать,рождаться,звякать,бросаться,следить,расталкивать,переставать,пробовать,помахивать,распахивать,отвертываться,останавливаться,заходить,разбивать,глядеть,выходить,осматривать,отворять,кроить,сказать,наклоняться,вставать,успокаиваться,возвращаться,закинуть,собираться,убегать,пить,играть,встречать,визжать,расти,стонать,петь,выть,конфузиться,озлоблять,хотеть,свистнуть,осматриваться,пытаться,подходить,отвечать,поддерживать,плевать,давать,протягивать,задумываться,красться,качать,наливать,освещать,спорить,отворяться,жить,сконфузить,грызть,висеть,оборвать,шептать,прыгать,хохотать,возиться,обнимать,вскакивать,затворять,примеривать,приподниматься,влезать,выхватывать,лежать,рычать,прислушиваться,засорять,уходить,ударять,работать,сгибаться,раздеваться,идти,приближаться,отдавать,встряхивать,напевать,склонять,слушать,чинить,входить,подражать,плакать,заливать,становиться,стаивать,запевать,бежать,толкать,звучать,выпивать,торжествовать,укладываться,брать,сидеть,исчезать,стоять,передразнивать,говорить,продолжать,гладить,взвизгивать,прятаться,шататься,сломать,пятиться,садиться,молчать,приплясывать,закапчивать,вытягиваться,гаснуть,кричать,прижимать,отходить,вслушиваться,хлопать,наблюдать,начинать,задыхаться,наклонять,суетиться,стучать,падать,кашлять,выбегать,сомневаться,повертывать,исковеркивать,трогать,появляться,направляться,прерывать,накидывать,слезать,ложиться,смеяться,распарывать,доноситься,держаться,грозить,ворчать,вспрыгивать,помещаться,облокотиться,молиться,подхватывать,раздаваться,усаживать,стягивать,метаться,размахиваться,дребезжать,фыркать,улыбаться,постоять,увидать,вести,надевать,размахивать,обходить,удаляться,выносить,растрепывать,подвигаться,подниматься,смотреть,выскочить,высовываться,оглядываться,придерживаться,бить,очерчивать,свистеть,быть,высовывать,посмеиваться,являться,отступать,скрываться,помогать,класть,отодвигаться,приготовляться,встречаться,;234
Горе от ума;1824;1824;210;1957;ронять,терять,видеть,зевать,помолчать,сталкиваться,зажимать,слышать,просыпаться,делать,спать,оборачиваться,умолкать,обращаться,душить,фортопиять,искать,отталкивать,бросаться,отправляться,раскрываться,заигрывать,останавливаться,глядеть,выходить,держать,оборачивать,вставать,покашливать,спрятать,затыкать,хотеть,расходиться,осматриваться,подходить,красться,стучаться,целовать,освещать,свешиваться,примыкать,брезжиться,направлять,хохотать,обнимать,виться,уходить,идти,входить,бежать,укутывать,спускаться,сидеть,подавать,говорить,продолжать,прятаться,пятиться,обниматься,садиться,разбредаться,гаснуть,кричать,шаркать,отходить,уезжать,суетиться,падать,останавливать,пропадать,вернуться,ползать,хлопотать,вести,выталкивать,вбегать,тушить,жать,увидеть,оправляться,смотреть,оглядываться,кочевать,быть,являться,потягиваться,кружиться,скрываться,жаться,;89
Актеон;1913;1913;55;510;набегать,уходить,падать,болтать,работать,ворочать,раздеваться,выпрямляться,появляться,замечать,ложиться,петь,стирать,входить,подходить,разбегаться,ломаться,протягивать,поддаваться,метаться,качать,отшатываться,исчезать,озираться,звать,охотиться,выносить,говорить,отдыхать,подниматься,смотреть,перекликаться,откидываться,обнимать,садиться,хмуриться,кричать,скандировать,помогать,наклоняться,лежать,начинать,;42
Дитя Аллаха;1916;1916;66;477;уходить,падать,читать,убегать,танцевать,идти,появляться,петь,входить,молиться,подлетать,пробегать,оборачиваться,убивать,передавать,сидеть,удаляться,склоняться,бить,биться,умирать,останавливаться,пролетать,отступать,скрываться,выезжать,сбегать,;27
Дон-Жуан в Египте;1911;1911;42;286;представлять,рассматривать,входить,оглядываться,обнимать,настаивать,глядеть,хотеть,подходить,поправлять,становиться,бормотать,уходить,коситься,повертываться,продолжать,отходить,выходить,схватывать,хвататься,;20
Гондла;1916;1916;62;580;втыкать,опускаться,убегать,играть,продолжаться,слушать,петь,смеяться,входить,показываться,протягивать,передавать,втаскивать,освещать,сидеть,целовать,надевать,склоняться,закалываться,прятаться,пробовать,обнимать,садиться,кричать,очнуться,отступать,ставить,выходить,наклоняться,;29
Американцы;1778;1778;140;1132;вынимать,фолать,окружать,уходить,удерживать,ударять,убегать,пить,выбегать,встречать,видеть,тащить,ласкать,раздвигаться,готовить,ложиться,петь,входить,обезоруживать,показываться,смеяться,нести,подходить,дразнить,разымать,вывертываться,вырываться,целовать,вбегать,сороть,схватить,искать,бросаться,шептать,представлять,оглядываться,обнимать,ощупывать,садиться,рассердиться,лезть,оставлять,испугаться,выходить,держать,лежать,;46
Подщипа или Трумф;1800;1800;99;642;вставать,вынимать,вкладывать,уходить,опускаться,происходить,зевать,видеть,дремать,тащить,кланяться,отдавать,схватывать,упадать,петь,плакать,подходить,давать,привставать,толкать,красться,брать,вбегать,отскакивать,вырывать,подавать,смотреть,прыгать,обнимать,ощупывать,садиться,щупать,храпеть,опамятоваться,начинать,;35
Сонный порошок или похищенная крестьянка;1798;1798;88;913;вставать,вынимать,уходить,пить,видеть,зевать,идти,воздыхать,вздыхать,готовить,снимать,входить,подражать,посматривать,хотеть,удивляться,казаться,давать,одевать,делать,бежать,спать,толкать,наливать,брать,сидеть,стучаться,стоять,смеркаться,жать,говорить,просить,тянуть,сделать,представлять,прибавляться,садиться,затворять,кричать,отходить,помогать,идучивать,выходить,осматривать,отворять,класть,начинать,;47
Урок дочкам;not specified in tei;not specified in tei;144;1063;уходить,возвращаться,глядеть,падать,убегать,видеть,входить,гоняться,почесывать,показываться,хотеть,плакать,нести,придерживать,подходить,давать,делать,расхаживать,перекланиваться,выглядывать,приседать,сидеть,кивать,становить,схватить,увидеть,выбиваться,бросаться,откланиваться,вязать,хохотать,садиться,услуживать,пересаживаться,отходить,исполнять,вслушиваться,барахтаться,;38
Демофонт;1751;1751;54;371;вкладывать,хватать,вынять,хотеть,целовать,удерживать,становиться,оборотиться,закалываться,отступать,увидеть,хвататься,держать,схватывать,;14
Тамира и Селим;not specified in tei;not specified in tei;53;340;селить,нарсить,сражаться,вынимать,ослабевать,хотеть,вырывать,становиться,закалываться,разнимать,схватывать,;11
Баня;1929;1929;119;1838;вливаться,ронять,мерять,выговаривать,махать,придерживать,всматриваться,загораться,оттягивать,сгребать,распахиваться,отшатываться,передавать,преследовать,вталкивать,дуть,приходить,диктовать,освещаться,трусить,бросаться,подкручивать,переходить,скидывать,распахивать,останавливаться,выходить,наклоняться,приоткрываться,перелистывать,повторять,проборматывать,поставлять,жестикулировать,трясти,охлаждаться,пытаться,отстраняться,поддерживать,хранить,гореть,захлопывать,объяснять,догонять,накручивать,втыкаться,возиться,обнимать,приливать,вскакивать,лезть,придавливать,подтягивать,выхватывать,прислушиваться,уходить,начинаться,выскакивать,идти,семенить,напевать,замечать,слушать,снимать,входить,тухнуть,пожимать,пробегать,врываться,толкать,обжигаться,рвануться,сидеть,разваливаться,валиться,подбегать,секретарствовать,говорить,продолжать,дозваниваться,прятаться,отмахиваться,кричать,прижимать,отбивать,сверять,запаивать,хлопать,наступать,начинать,крутить,похлопывать,копировать,стучать,выбегать,светиться,останавливать,отрывать,доставать,отстранять,появляться,отделяться,свисать,показываться,разматывать,пересматривать,размахивать,вбегать,ходить,прощаться,выключать,смотреть,свистеть,грузить,скрываться,класть,;116
Дети Ванюшина;1901;1901;471;9661;позволять,вынимать,оставаться,причесывать,читать,желать,терять,сообщать,считать,видеть,стараться,спотыкаться,топать,следовать,нажимать,ласкать,сталкиваться,дрожать,сжиматься,расстраивать,расстегивать,задумывать,слышать,тереть,подергивать,прижиматься,взять,принадлежать,дразнить,приготовлять,действовать,допивать,побледнеть,раздражаться,делать,оборачиваться,привставать,успевать,искалечивать,выглядывать,присутствовать,заваривать,приходить,обращаться,трепать,опираться,освещаться,рекомендовать,отталкивать,искать,уверяться,сдерживать,отбегать,вызывать,следить,переставать,ошеломлять,решаться,скидывать,отвертываться,приставать,останавливаться,дотрагиваться,скакать,стоить,растягивать,глядеть,взяться,белиться,выходить,сказать,отворять,бояться,вспоминать,растериваться,вставать,наполняться,держать,встревожить,окружать,называть,ожидать,обрадовать,возвращаться,подчеркивать,делаться,недоумевать,убегать,окаймлять,исключать,пить,обращать,кидаться,перелистывать,играть,повторять,определять,удаваться,проезжать,спрятать,петь,состарить,озлоблять,хотеть,проноситься,осматриваться,мешать,подходить,поддерживать,покачивать,давать,ждать,задумываться,протягивать,заменять,смолкать,остолбенеть,качать,наливать,догонять,сажать,всплескивать,освещать,целовать,кипеть,поступать,отворяться,поцеловать,склоняться,целоваться,сконфузить,висеть,шептать,посмотреть,сделать,хохотать,обнимать,пробуждаться,торопиться,вскакивать,увивать,вспомнить,раздражать,подыматься,ставить,закуривать,писать,прислушиваться,упасть,приотворять,удивлять,уходить,багроветь,удерживать,опускаться,рыдать,ударять,нахмуриваться,выскакивать,происходить,раздеваться,обрадоваться,идти,написать,отдавать,увлекаться,раздуваться,кланяться,чувствовать,тащить,схватывать,прийти,замечать,слушать,снимать,входить,проходить,плакать,относиться,сбрасывать,вдохновляться,нести,блестеть,становиться,здороваться,одевать,пробегать,бежать,взволновать,владеть,жеманиться,выпивать,подставлять,находиться,спускаться,брать,обжигаться,пересиливать,расставлять,встречаться,сердиться,сидеть,стоять,озираться,разваливаться,передразнивать,сходить,захватить,подбегать,подавать,говорить,продолжать,гладить,попадать,кидать,синеть,наделять,прятаться,бродить,учиться,шататься,садиться,молчать,кричать,прижимать,дергать,поздравлять,оставлять,подслушивать,хвататься,погружаться,отходить,хлопать,шепелявить,доходить,куриться,начинать,думать,стучать,падать,мочь,выбегать,подавлять,полагать,волноваться,овладевать,появляться,доставать,унаследовать,пропадать,мочить,курить,дышать,отстранять,превращаться,отделяться,шутить,смеяться,держаться,показываться,доноситься,уяснять,помещаться,молиться,прятать,подсматривать,подумать,раздаваться,усаживать,вырываться,выступать,навертываться,есть,улыбаться,увидать,тронуть,вести,вбегать,надевать,ходить,тушить,осматривать,звать,лопать,заставлять,вспыхивать,растрепывать,увидеть,смотреть,отрываться,вываливаться,ободрять,одеваться,бить,вскрикивать,быть,пересчитывать,завивать,раздваивать,рассматривать,щупать,затрагивать,скрываться,взглядывать,помогать,уметь,накинуть,класть,схватываться,;309
Бедность не порок;1854;1854;352;3598;вынимать,читать,стараться,переминаться,помолчать,заглядывать,вздыхать,махнуть,зажимать,прижиматься,покачать,любить,припевать,разгорячаться,повесить,ухватывать,хватать,кивать,обращаться,трепать,обедать,сдерживать,составлять,переставать,водить,останавливаться,ошибаться,выходить,вставать,окружать,возвращаться,собираться,убегать,пить,играть,раскланиваться,поставлять,сыпать,петь,прилегать,хотеть,мешать,подходить,давать,протягивать,задумываться,наливать,топнуть,освещать,целовать,управлять,целоваться,шептать,прыгать,хохотать,обнимать,затворять,вскакивать,подтягивать,ставить,писать,удивлять,уходить,ударять,происходить,дремать,идти,кланяться,отдавать,схватывать,слушать,снимать,входить,утираться,плакать,становиться,отворачиваться,запевать,одевать,брать,сидеть,стоять,откупоривать,подавать,говорить,продолжать,гладить,складывать,садиться,приплясывать,молчать,поглядывать,вкопать,коситься,отходить,наступать,начинать,стучать,засучивать,полагать,доставать,плясать,ложиться,смеяться,наигрывать,прятать,декламировать,надевать,ходить,заставлять,подвигаться,пригорюниваться,смотреть,бить,заниматься,рассматривать,подыгрывать,взглядывать,класть,;119
Бесприданница;1878;1878;379;3847;вынимать,читать,ронять,оскорблять,стараться,жевать,вздрагивать,хватать,слабеть,кивать,отталкивать,бросаться,отбегать,переходить,приставать,глядеть,завертывать,выходить,разгорячиться,вставать,закинуть,обращать,убегать,пить,раскланиваться,стрелять,петь,конфузиться,хотеть,подвигать,подходить,отвечать,давать,меблировать,задумываться,наливать,целовать,целоваться,ставить,закрываться,лежать,прислушиваться,уходить,опускаться,ударять,происходить,идти,кланяться,отдавать,напевать,схватывать,снимать,входить,пожимать,запевать,брать,сидеть,стоять,подстраивать,подавать,говорить,продолжать,спрятаться,обниматься,садиться,отходить,нагибаться,хвататься,погружаться,падать,выбегать,доставать,оробеть,смеяться,показываться,грозить,поглядеть,подумать,вести,надевать,ходить,обметать,жать,смотреть,рассматривать,надуваться,взглядывать,прибивать,класть,;89
Гроза;1859;1859;297;2748;зевать,видеть,помолчать,вздыхать,ласкать,махнуть,слышать,прижиматься,взять,покачать,делать,оборачиваться,освобождаться,зажмуриваться,выглядывать,хватать,обращаться,подымать,отталкивать,бросаться,прогуливаться,переставать,сконфузиться,останавливаться,стоить,глядеть,выходить,осматривать,держать,приклоняться,растериваться,гулять,вставать,возвращаться,собираться,обращать,убегать,играть,раскланиваться,кидаться,растопыривать,петь,прилегать,хотеть,подходить,плевать,задумываться,качать,топнуть,целовать,целоваться,посмотреть,обнимать,вскакивать,закрываться,прислушиваться,уходить,притаиться,рыдать,опускаться,идти,кланяться,снимать,входить,плакать,нести,отворачиваться,становиться,запевать,бежать,высматривать,брать,сидеть,сердиться,стоять,передразнивать,сходить,подбегать,подавать,пойти,всходить,продолжать,манить,свистать,прятаться,разрушаться,садиться,дергать,отходить,хвататься,начинать,стучать,падать,шутить,смеяться,показываться,потуплять,подумать,прятать,улыбаться,увидать,вбегать,смотреть,оглядываться,вскрикивать,потягиваться,потупляться,взглядывать,класть,;109
Снегурочка;1873;1873;229;3621;набегать,вынимать,оставаться,зевать,видеть,стараться,брусить,ласкать,дрожать,махать,прижиматься,завидеть,оборачиваться,выглядывать,передавать,обращаться,кивать,подымать,потчевать,повисать,пошатнуться,бросаться,допевать,переставать,водить,догорать,выходить,нестись,гулять,вставать,окружать,угощаться,возвращаться,убегать,пить,играть,сыпать,петь,расходиться,подвигать,хотеть,подходить,поддерживать,касаться,качать,целовать,зажмуриться,меняться,разделяться,униматься,биться,обнимать,сходиться,проваливаться,цвести,подыматься,упасть,прислушиваться,расписывать,покрываться,уходить,удерживать,прилипать,опускаться,оканчиваться,идти,кланяться,отдавать,снимать,приниматься,входить,серебрить,плакать,нести,становиться,запевать,благодарить,одевать,бежать,толкать,подставлять,спускаться,сидеть,брать,вызолачивать,исчезать,вырывать,стоять,порастать,сходить,прясть,подавать,говорить,рассеиваться,манить,прятаться,охорашиваться,таять,складывать,садиться,молчать,кричать,отходить,хвататься,начинать,прилетать,падать,выбегать,засучивать,светиться,плясать,ложиться,драться,показываться,вылезать,прорезывать,сыпаться,вырываться,увидать,сближаться,надевать,ходить,прибегать,оправляться,смотреть,подниматься,представлять,рассматривать,потягиваться,подталкивать,жаться,приготовляться,класть,;133
Свои люди – сочтемся;1849;1849;232;1932;вставать,вынимать,уходить,возвращаться,читать,рыдать,опускаться,пить,ворочать,считать,зевать,смотреться,помолчать,кланяться,идти,доставать,вздыхать,отдавать,входить,смеяться,показываться,плакать,хотеть,подходить,становиться,давать,меблировать,задумываться,делать,бежать,усаживать,красться,наливать,сидеть,преследовать,надевать,хватать,замахиваться,ходить,целовать,стоять,трепать,сходить,неуспокоиться,подбегать,целоваться,подавать,деваться,выносить,бегать,просматривать,бросаться,отказываться,вальсировать,смотреть,шептать,рассматривать,охорашиваться,хохотать,садиться,молчать,вскакивать,кричать,лезть,прижимать,охорашивать,скрываться,отходить,глядеть,ставить,класть,;71
Волки и овцы;1875;1875;426;4067;вынимать,читать,считать,зевать,обижаться,заглядывать,вздыхать,махнуть,взять,покачать,поцеловаться,растворять,подымать,диктовать,отодвигаться,бросаться,глядеть,выходить,осматривать,застегнуть,отворять,вставать,возвращаться,убегать,пить,развертывать,раскланиваться,сосчитывать,посвистывать,хотеть,осматриваться,подходить,давать,вытягивать,нюхать,понюхать,сажать,наливать,качать,целовать,звонить,щелкать,склоняться,хохотать,обнимать,затворять,приподниматься,прислушиваться,уходить,опускаться,ударять,сгибаться,идти,кланяться,отдавать,вечереть,склонять,слушать,снимать,входить,плакать,нести,пожимать,становиться,отворачиваться,одевать,придвигать,выпивать,брать,стоять,разрывать,подавать,говорить,свистать,обессилевать,садиться,хвататься,погружаться,стучать,полагать,смеяться,показываться,грозить,прятать,подумать,увидать,вести,надевать,вбегать,жать,распечатывать,смотреть,высовываться,рассматривать,вскрикивать,взглядывать,накинуть,класть,;98
Сговор Кутейкина;not specified in tei;not specified in tei;63;533;охмелеть,уходить,броситься,вскотать,пить,зевать,кланяться,оробеть,уставлять,схватывать,петь,входить,хотеть,взять,отворить,подходить,просыпаться,разнимать,толкать,размахиваться,заснуть,сажать,наливать,подавать,целоваться,увидеть,пугаться,образумиться,представлять,испугаться,садиться,смаковать,кричать,взглядывать,храпеть,наткнуться,;36
Блонды;1853;1853;87;1089;вставать,вынимать,суетиться,падать,подкрадываться,ронять,удерживать,прикалывать,читать,убегать,смотреться,останавливать,передергивать,написать,обижаться,прерывать,замечать,снимать,входить,всматриваться,подкатываться,мешать,грозить,хотеть,подходить,одевать,раздаваться,взволновать,оборачиваться,выпивать,выглядывать,распахиваться,улыбаться,сажать,целовать,вбегать,обращаться,разрывать,стоять,подымать,прикладывать,поцеловать,жать,отталкивать,подавать,целоваться,продолжать,сдерживать,взбивать,бросаться,смотреть,прятаться,рассматривать,прыскать,обводить,складывать,быть,останавливаться,садиться,молчать,очнуться,потупляться,переменять,вслушиваться,выходить,держать,лежать,класть,начинать,;69
Черепослов, сиречь Френолог;1856;1856;161;3088;оставаться,стараться,усаживаться,помолчать,вздыхать,сталкиваться,съеживаться,задремать,подсмеиваться,всматриваться,стареть,примачивать,перебивать,прижиматься,делать,вздрагивать,оборачиваться,грозиться,передавать,приседать,приподымать,преследовать,обращаться,подымать,опираться,отталкивать,пугаться,бросаться,следить,повторяться,приставать,построить,останавливаться,робеть,драть,обривать,пробиваться,выходить,держать,вставать,поскальзываться,перелистывать,петь,хотеть,подходить,отвечать,задумываться,запыхаться,перебегать,захлопывать,твердить,качать,целовать,удерживаться,устанавливаться,исчерчивать,брить,висеть,воспользоваться,знакомиться,вязать,посмотреть,сделать,вскакивать,раздражать,передвигаться,ставить,писать,прислушиваться,всхлипывать,уходить,удерживать,рыдать,ударять,опускаться,происходить,дремать,идти,приближаться,написать,кланяться,встряхивать,слушать,снимать,приниматься,входить,благословлять,плакать,сбрасывать,отворачиваться,становиться,переменяться,пробегать,придвигать,жеманиться,находиться,сидеть,расставлять,вырывать,стоять,подбегать,подавать,оканчивать,говорить,продолжать,обертываться,ощупывать,садиться,отмахиваться,кричать,нарушать,начинать,заслонять,наклонять,падать,фальшивить,выбегать,останавливать,прерывать,ободряться,рассердить,подхватывать,раздаваться,фыркать,надевать,ходить,сморщиваться,прикладывать,смотреть,представлять,рассматривать,заниматься,бить,отдыхиваться,кокетничать,отступать,испугаться,накинуть,;138
Спор древних греческих философов об изящном;not specified in tei;not specified in tei;15;584;оставаться,отодвигать,направляться,закидывать,возлагать,ползать,сосать,отворачиваться,приостанавливаться,сближаться,постоять,стоять,выдвигать,опираться,зеленеть,продолжать,разгорячиться,направлять,изгибаться,смотреть,представлять,откидываться,быть,останавливаться,начинать,летать,переставлять,взглядывать,выходить,доходить,куриться,;31
Борис Годунов;1825;1825;172;1320;вставать,вынимать,окружать,уходить,строиться,начинаться,читать,лежать,рыдать,убегать,пить,останавливать,играть,идти,кланяться,приближаться,ложиться,петь,расседлывать,входить,смеяться,всматриваться,расходиться,плакать,подходить,давать,обвесить,задумываться,бежать,спать,выступать,нестись,вести,освещать,целовать,хватать,встречаться,ехать,вырывать,стоять,щелкать,отворяться,разуздывать,удаляться,сходить,расступаться,выносить,подавать,издыхать,продолжать,бросаться,свистать,безмолвствовать,смотреть,затягивать,чертить,переходить,бить,шептаться,быть,пробуждаться,трубить,садиться,пустеть,поникать,скакать,молчать,являться,отходить,глядеть,выходить,осматривать,писать,класть,;74
Каменный гость;1830;1830;40;261;петь,вставать,входить,целовать,биться,уходить,стучать,падать,кивать,вбегать,проваливаться,останавливать,делать,кидаться,идти,выходить,осматривать,слушать,;18
Моцарт и Сальери;1830;1830;17;124;входить,хохотать,уходить,пить,играть,идти,;6
Пир во время чумы;1830;1830;9;80;петь,вставать,входить,оставаться,уходить,приходить,управлять,пить,ехать,наполнять,продолжаться,;11
Русалка;1832;1832;45;356;вставать,оставаться,уходить,падать,идти,отдавать,кормить,входить,показываться,расходиться,сымать,подходить,осыпать,давать,рвать,сыпаться,дарить,наливать,сидеть,прясть,целоваться,говорить,бросаться,прятаться,молчать,садиться,скрываться,выходить,;28
Скупой рыцарь;1830;1830;23;162;входить,хотеть,уходить,стучать,подымать,всыпать,подавать,отымать,бросаться,выходить,смотреть,;11
Сцены из рыцарских времен;1835;1835;39;284;вставать,уходить,падать,ранить,пить,трогаться,беситься,петь,входить,смеяться,расходиться,сымать,разбегаться,наезжать,почесываться,толкать,стучаться,хватать,замахиваться,медлить,бросаться,бить,нападать,садиться,скрываться,выходить,ехать,лежать,;28
Димитрий Самозванец;1770;1770;57;479;закалывать,сидеть,вручать,вынимать,хватать,приходить,восставать,опускаться,вырывать,подымать,ударять,приближаясти,отступать,спать,вступать,говорить,подыматься,издыхать,метать,;19
Хорев;1747;1747;33;262;метать,выходить,говорить,отходить,отъять,;5
Семира;1751;1751;77;610;падать,броситься,удерживать,становясти,идти,отдавать,входить,хотеть,становиться,метать,вести,восставать,подымать,закалываться,иметь,всходить,бросаться,умирать,садиться,сноситься,отходить,выхватывать,подписывать,;23
