play name;written;print;number of stages;len_stages_words;verbs set;number of unique verbs
На большой дороге;1884;1884;213;1979;оставаться,стараться,расплачиваться,вздыхать,махать,спать,оборачиваться,взмахивать,полулежать,хватать,узнавать,дуть,отскакивать,развалиться,отталкивать,укрываться,сконфузиться,переходить,останавливаться,слышаться,глядеть,выходить,держать,отворять,осматривать,вставать,собираться,убегать,пить,стонать,хотеть,осматриваться,подходить,задумываться,захлопывать,качать,наливать,всплескивать,вглядываться,висеть,хохотать,вскакивать,приподниматься,закуривать,уходить,рыдать,идти,кланяться,отдавать,снимать,входить,плакать,пожимать,уступать,становиться,одевать,бежать,вытаскивать,толкать,растягиваться,сидеть,вырывать,стоять,подбегать,подавать,говорить,ежиться,садиться,кричать,вкопать,отходить,уезжать,хлопать,пошатываться,стучать,падать,кашлять,доставать,отстранять,ложиться,смеяться,наигрывать,поглядеть,вести,ходить,подъезжать,тушить,рыться,выносить,ловить,располагаться,подниматься,смотреть,представлять,рассматривать,бить,вскрикивать,высовывать,потягиваться,класть,;100
Ночь перед судом;1884;1884;52;421;уходить,возвращаться,доставать,снимать,входить,тянуться,отвечать,прятать,протягивать,делать,бежать,выглядывать,целовать,вырывать,рыться,увидеть,прыгать,садиться,закапчивать,щупать,кричать,скрываться,подслушивать,писать,;24
Предложение;1888;1888;73;490;пошатываться,уходить,падать,пить,волноваться,стараться,идти,вздыхать,стонать,растрогать,соединять,входить,смеяться,плакать,пожимать,перебивать,дразнить,поглядеть,целовать,хватать,ходить,вбегать,трепать,целоваться,взвизгивать,подниматься,обнимать,кричать,хвататься,;29
Свадьба;1889;1889;96;767;вставать,оставаться,уходить,стучать,кашлять,пить,считать,играть,стараться,усаживаться,идти,кланяться,вздыхать,напевать,махать,растрогать,входить,подражать,струшивать,перебивать,спешить,бежать,хлопотать,запыхаться,докладывать,наливать,вести,отставать,освещать,вспыхивать,целоваться,говорить,увидеть,поперхнуться,воспользоваться,садиться,расслышать,кричать,дрогнуть,выходить,наступать,;41
Татьяна Репина;1889;1889;125;1069;задыхаться,пошатываться,оставаться,уходить,читать,опускаться,пить,идти,кланяться,вздыхать,стонать,дрожать,валяться,греметь,петь,снимать,всматриваться,становиться,давать,рвать,гореть,предоставлять,передавать,вести,всплескивать,венчать,надевать,валить,обращаться,тушить,целоваться,подниматься,венчаться,выходить,полинять,слышаться,кричать,сменять,подпевать,;39
Трагик поневоле (Из дачной жизни);1889;1889;16;191;петь,оглядываться,входить,сидеть,вынимать,гоняться,читать,опускаться,вскакивать,поводить,кричать,топать,наступать,дышать,держать,;15
Три сестры;1900;1900;653;5892;вынимать,оставаться,лить,причесывать,читать,ронять,зевать,заглядывать,вздыхать,ласкать,махать,поздороваться,слышать,тереть,всматриваться,картавить,охватывать,оторопеть,прижиматься,дразнить,прыскаться,спать,вздрагивать,выглядывать,приходить,брызгать,знать,сдерживать,прогуливаться,переставать,раскладывать,останавливаться,рассердиться,стоить,вспотеть,глядеть,сказать,отворять,вставать,собираться,убегать,пить,встречать,играть,проезжать,петь,посвистывать,мешать,подходить,разбиваться,ждать,задумываться,тосковать,расчесывать,всплескивать,целовать,записывать,звонить,аплодировать,целоваться,сконфузить,шептать,огорчать,помешать,хохотать,обнимать,затворять,ставить,лежать,прислушиваться,уходить,начинаться,рыдать,танцевать,спохватываться,идти,кланяться,напевать,слушать,снимать,входить,плакать,нести,пожимать,поправлять,укачивать,здороваться,одевать,взволновать,брать,сидеть,поправляться,смущать,встречаться,стоять,сходить,подавать,говорить,гладить,мыть,тянуть,кидать,шататься,садиться,браться,кричать,отходить,нагибаться,хлопать,начинать,думать,стучать,суетиться,повертывать,выбегать,сдерживаться,трогать,волноваться,доставать,плясать,ложиться,завтракать,растрогать,смеяться,показываться,беседовать,наигрывать,подумать,глядеться,спешить,усаживать,декламировать,улыбаться,вести,окидывать,надевать,ходить,подъезжать,тушить,прощаться,покидать,увидеть,смотреть,бить,оглядываться,рассматривать,вскрикивать,быть,позвать,потягиваться,очнуться,взглядывать,испугаться,отдыхать,класть,;155
Вишневый сад;1903;1903;575;6220;вынимать,оставаться,ронять,читать,зевать,усаживаться,стараться,обнаруживать,называться,вздыхать,заглядывать,дрожать,стихать,сжиматься,махать,скрипеть,ласкаться,сосать,оторопеть,дразнить,утешать,высыпать,просыпаться,делать,потаскать,вздрагивать,пройти,усиливаться,приезжать,отнимать,хватать,дуть,приходить,кивать,бормотать,опираться,забросить,искать,обозначаться,вспылить,бросаться,уронить,темнеть,услышать,переходить,звенеть,мычать,останавливаться,расслышать,рассердиться,слышаться,стоить,настраиваться,глядеть,выходить,держать,отворять,бояться,осматривать,мечтать,возвращаться,убегать,пить,перелистывать,встречать,играть,заплакать,поставлять,петь,хотеть,струшивать,отвечать,подходить,ждать,задумываться,гореть,запыхаться,качать,наливать,бывать,всплескивать,целовать,замахиваться,проносить,аплодировать,меняться,поцеловать,отворяться,удерживаться,целоваться,замирать,сконфузить,шептать,прыгать,лопнуть,хохотать,обнимать,сходиться,затворять,вскакивать,понравиться,цвести,ставить,закуривать,упасть,прислушиваться,возмущаться,лежать,уходить,начинаться,попудриться,опускаться,рыдать,танцевать,идти,кланяться,отдавать,встряхивать,семенить,напевать,схватывать,слушать,снимать,входить,плакать,раздавливать,пожимать,поправлять,опрокидывать,становиться,одевать,бежать,звучать,торжествовать,брать,сидеть,смущать,отъезжать,исчезать,стоять,ездить,подавать,говорить,обрываться,слагать,испугаться,садиться,ощупывать,толкнуть,кричать,отходить,покривиться,хлопать,наступать,утомлять,пошатываться,падать,стучать,мочь,восходить,кашлять,пудриться,полагать,волноваться,трогать,доставать,дышать,вернуться,ложиться,натыкаться,смеяться,показываться,оглянуться,грозить,доноситься,удивляться,наигрывать,поглядеть,кашлянуть,чувствоваться,глядеться,рвать,спешить,раздаваться,возвышаться,хлопотать,стягивать,чистить,топотать,есть,декламировать,улыбаться,вести,окидывать,надевать,подъезжать,ходить,тушить,вбегать,звать,прощаться,рассыпать,жать,увидеть,упоминаться,смотреть,оглядываться,варить,бить,жаловаться,вскрикивать,быть,потягиваться,взглядывать,храпеть,запивать,подпевать,класть,;218
Бригадир;1769;1769;165;1574;вставать,вскотать,пить,видеть,зевать,жеманясти,кидаться,кинуться,заглядывать,вздыхать,курить,держать,схватывать,осердиться,иструситься,петь,входить,смеяться,плакать,оторопеть,остановлять,становиться,сдавать,подумать,давать,придвигать,застыдиться,выступать,разнимать,ухватывать,вести,всплескивать,сидеть,ходить,стоять,аплодировать,передразнивать,подбегать,подавать,увидеть,говорить,отдыхать,пасовать,продолжать,смотреть,вязать,посмотреть,представлять,шептать,услышать,раскладывать,хохотать,приставать,садиться,притворяться,вскакивать,шить,идучивать,ставить,оставлять,отходить,вслушиваться,взглядывать,выходить,кобенясти,шмыгать,;66
Недоросль;1781;1781;339;3022;вынимать,читать,видеть,вздыхать,дрожать,махнуть,усмехаться,взять,смеючиться,примести,узнавать,отталкивать,бросаться,насмехаться,озлобиться,стоить,обробеть,глядеть,выходить,держать,осматривать,вставать,убегать,заплакать,запинаться,сказывать,перевертываться,подвигать,подходить,давать,протягивать,задумываться,запыхаться,тосковать,всплескивать,целовать,замахиваться,вскричать,удерживаться,вглядываться,иметь,остервениться,шептать,вычислять,посмотреть,обнимать,затворять,вскакивать,отмахивать,писать,упасть,ударять,работать,идти,схватывать,входить,становиться,оправлять,бежать,разнимать,брать,вырывать,стоять,выпялить,подбегать,подавать,крестить,продолжать,манить,обертываться,садиться,кричать,мигнуть,вкопать,порываться,отходить,идучивать,доходить,начинать,мочь,выбегать,останавливать,появляться,соединять,держаться,очинивать,смеяться,заслонить,грозить,задрожать,поклониться,вырываться,вбегать,прощаться,ловить,увидеть,уцепляться,бегать,распечатывать,откланиваться,оправляться,смотреть,оглядываться,быть,позвать,очнуться,взглядывать,испугаться,помогать,;109
